district,sign,address,square,zone,n1,n2,date,stuff,level,floor,state,use,material,complete,area,room,hall,health,compartmented,manage,price,square price,park,park_size,park_price,note,sId
北屯區,房地(土地+建物)+車位,軍福段91~120地號,9.41,商,,,1070926,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.76,2,1,1,有,無,5250000,63646,坡道機械,15.7,600000,,RPROMLPKNHOFFBB28CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,9.41,商,,,1070918,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.7,2,1,1,有,無,5030000,61244,坡道機械,13.55,550000,,RPTOMLPKNHOFFBB48CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,9.41,商,,,1070913,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.7,2,1,1,有,無,5180000,62611,坡道機械,13.55,600000,,RPUOMLPKNHOFFBB58CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,9.41,商,,,1070712,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,86.7,2,1,1,有,無,5250000,62884,坡道機械,13.55,650000,,RPOPMLPKNHOFFBB08CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,9.41,商,,,1070926,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,88.85,2,1,1,有,無,4280000,50308,坡道機械,15.7,600000,,RPPPMLPKNHOFFBB18CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,9.55,商,,,1070523,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,96.35,2,1,1,有,無,6270000,69993,坡道平面,23.2,1150000,,RPVPMLPKNHOFFBB78CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.61,商,,,1070130,土地1建物1車位1,一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.93,3,2,2,有,無,10050000,81479,坡道機械,16.79,750000,,RPPQMLPKNHOFFBB28CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.61,商,,,1071001,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.47,3,2,2,有,無,6750000,53485,坡道機械,13.55,550000,,RPQQMLPKNHOFFBB38CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.61,商,,,1070921,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.47,3,2,2,有,無,7000000,55210,坡道機械,13.55,600000,,RPRQMLPKNHOFFBB48CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.75,商,,,1071119,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,137.06,3,2,2,有,無,7630000,56332,坡道平面,21.14,1100000,,RPTQMLPKNHOFFBB68CB
梧棲區,房地(土地+建物)+車位,梧棲段2821~2850地號,0.06,商,,,1070910,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.68,2,2,1,有,無,4390000,58377,坡道平面,31.04,850000,,RPWNMLPKNHOFFFB09CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.75,商,,,1070126,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.12,3,2,2,有,無,8650000,64268,坡道平面,23.2,1200000,,RPUNMLRKNHOFFBB68CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.75,商,,,1070205,土地1建物1車位1,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.12,3,2,2,有,無,8770000,65304,坡道平面,23.2,1200000,,RPWNMLRKNHOFFBB88CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.75,商,,,1070921,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.12,3,2,2,有,無,8410000,62629,坡道平面,23.2,1150000,,RPXNMLRKNHOFFBB98CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.75,商,,,1070816,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.12,3,2,2,有,無,8460000,62629,坡道平面,23.2,1200000,,RPOOMLRKNHOFFBB18CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.61,商,,,1070426,土地1建物1車位1,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,131.62,3,2,2,有,無,7450000,58661,坡道機械,15.7,650000,,RPPOMLRKNHOFFBB28CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.75,商,,,1070920,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.12,3,2,2,有,無,8310000,61767,坡道平面,23.2,1150000,,RPROMLRKNHOFFBB48CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.75,商,,,1071009,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,139.12,3,2,2,有,無,8540000,63320,坡道平面,23.2,1200000,,RPUOMLRKNHOFFBB78CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.33,商,,,1071001,土地1建物1車位1,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.79,3,2,2,有,無,7750000,58620,坡道平面,23.2,1150000,,RPWOMLRKNHOFFBB98CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.33,商,,,1070510,土地1建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.79,3,2,2,有,無,8100000,61728,坡道平面,23.2,1150000,,RPSPMLRKNHOFFBB68CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.19,商,,,1070613,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,126.14,3,2,2,有,無,7050000,56843,坡道機械,13.55,650000,,RPUPMLRKNHOFFBB88CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.33,商,,,1071018,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.79,3,2,2,有,無,7850000,59508,坡道平面,23.2,1150000,,RPWPMLRKNHOFFBB09CB
北屯區,房地(土地+建物)+車位,軍福段91~120地號,14.19,商,,,1070704,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,129.38,3,2,2,有,無,7850000,63061,坡道機械,16.79,750000,,RPXPMLRKNHOFFBB56CB
