title,paiming,recommend_price,uri,hotel_address,avg_rating,comment_count,offical_img_uri,facility,property,agoda_price
台北凱達大飯店,"台北排名第 1 的超值住宿地點，共 1,199 家","NT$2,261",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d12439218-Reviews-Caesar_Metro_Taipei-Wanhua_Taipei.html,艋舺大道167號,4.0,332,https://media-cdn.tripadvisor.com/media/photo-s/11/a3/57/0d/caption.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '客房服務', '冰箱']","['免費高速上網 (WiFi)', '游泳池', '有健身房的健身中心', '酒吧/酒廊', '機場接送', '提供上網服務的商務中心', '宴會廳', '禮賓服務']","NT$2,251"
新驛旅店 - 復興北路店,"台北排名第 2 的超值住宿地點，共 1,199 家","NT$3,095",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8263705-Reviews-Cityinn_Hotel_Plus_Fuxing_N_Rd_Branch-Zhongshan_District_Taipei.html,中山區復興北路338號,5.0,906,https://media-cdn.tripadvisor.com/media/photo-s/0f/5a/67/42/caption.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '保險箱', '冰箱', '平板電視']","['免費停車', '停車', '免費高速上網 (WiFi)', '機場接送', '提供上網服務的商務中心', '禁菸飯店', '乾洗服務', '洗衣服務']",
路境行旅,"台北排名第 3 的超值住宿地點，共 1,199 家","NT$2,601",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12404865-Reviews-Finders_Hotel-Zhongzheng_District_Taipei.html,中正區重慶南路一段86號7-11樓,4.5,173,https://media-cdn.tripadvisor.com/media/photo-s/0f/65/86/97/caption.jpg,,,
台北美侖大飯店,"台北排名第 4 的超值住宿地點，共 1,199 家","NT$1,954",https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d1448672-Reviews-Park_Taipei_Hotel-Da_an_Taipei.html,復興南路一段317號,4.5,788,https://media-cdn.tripadvisor.com/media/photo-s/14/cd/d3/78/entrance.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '迷你吧', '冰箱', '平板電視']","['免費停車', '免費高速上網 (WiFi)', '有健身房的健身中心', '酒吧/酒廊', '提供上網服務的商務中心', '會議設施', '禮賓服務', '禁菸飯店']","NT$1,958"
老爺會館台北林森,"台北排名第 5 的超值住宿地點，共 1,199 家","NT$2,739",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html,林森北路83號4樓 Near Huashan 1914 Creative Park,4.5,248,https://media-cdn.tripadvisor.com/media/photo-s/11/5a/58/91/business-room.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '免費早餐', '自助式早餐', '禁菸飯店', '洗衣服務', '自助式洗衣']",
悠逸商旅,"台北排名第 6 的超值住宿地點，共 1,199 家","NT$2,299",https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d10541923-Reviews-UiNN_Business_Hotel-Shilin_Taipei.html,士林區承德路四段318號,4.5,299,https://media-cdn.tripadvisor.com/media/photo-s/0c/a7/8e/c2/uinn-business-standard.jpg,"['禁菸客房', '家庭房', '空調設施', '客房服務']","['免費停車', '免費高速上網 (WiFi)', '有健身房的健身中心', '免費早餐', '機場接送', '提供上網服務的商務中心', '禁菸飯店', '乾洗服務']",
台北花園大酒店,"台北排名第 7 的超值住宿地點，共 1,199 家","NT$5,800",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1224203-Reviews-Taipei_Garden_Hotel-Zhongzheng_District_Taipei.html,中正區中華路二段1號,4.5,2754,https://media-cdn.tripadvisor.com/media/photo-s/09/32/1f/6c/caption.jpg,,,"NT$5,800"
薆悅酒店,"台北排名第 8 的超值住宿地點，共 1,199 家","NT$1,939",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2527833-Reviews-Inhouse_Hotel_Heritage-Wanhua_Taipei.html,萬華區西寧南路107號,4.0,488,https://media-cdn.tripadvisor.com/media/photo-s/0e/29/2f/57/inhouse-hotel-s-lobby.jpg,"['禁菸客房', '套房', '空調設施', '冰箱', '平板電視']","['免費高速上網 (WiFi)', '免費網際網路', '無線網路', '免費早餐', '餐廳', '禮賓服務', '禁菸飯店', '洗衣服務']","NT$1,693"
倆人旅店,"台北排名第 9 的超值住宿地點，共 1,199 家","NT$3,082",https://www.tripadvisor.com.tw/Hotel_Review-g13806427-d1993302-Reviews-Hotel_DOUBLE_ONE-Beitou_Taipei.html,北投區幽雅路11號,4.5,507,https://media-cdn.tripadvisor.com/media/photo-s/09/80/07/3d/caption.jpg,,,"NT$3,636"
台北松山意舍酒店,"台北排名第 10 的超值住宿地點，共 1,199 家","NT$2,162",https://www.tripadvisor.com.tw/Hotel_Review-g13806753-d8781562-Reviews-Amba_Taipei_Songshan-Nangang_Taipei.html,市民大道七段8號,4.5,418,https://media-cdn.tripadvisor.com/media/photo-s/12/6e/02/84/corner-101-view-room.jpg,,,
兄弟大飯店,"台北排名第 11 的超值住宿地點，共 1,199 家","NT$2,722",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d308653-Reviews-Brother_Hotel_Taipei-Songshan_Taipei.html,南京東路三段255號,4.0,514,https://media-cdn.tripadvisor.com/media/photo-s/11/90/4a/c8/caption.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '客房服務', '冰箱', '平板電視']","['免費停車', '免費高速上網 (WiFi)', '酒吧/酒廊', '機場接送', '提供上網服務的商務中心', '宴會廳', '禮賓服務', '禁菸飯店']","NT$2,531"
台北馥敦-馥寓,"台北排名第 12 的超值住宿地點，共 1,199 家","NT$2,900",https://www.tripadvisor.com.tw/Hotel_Review-g13806900-d633449-Reviews-Taipei_Fullerton_Hotel_Maison_North-Songshan_Taipei.html,松山區復興北路315號,4.0,212,https://media-cdn.tripadvisor.com/media/photo-s/0e/4e/ba/43/hotel-exterior.jpg,"['禁菸客房', '套房', '家庭房', '空調設施', '迷你吧', '冰箱', '平板電視']","['免費停車', '免費高速上網 (WiFi)', '有健身房的健身中心', '免費早餐', '機場接送', '會議設施', '會議室', '禮賓服務']","NT$3,300"
