username,profile_uri,comment_date,hotel_name
brooke,https://www.tripadvisor.com.tw/Profile/brookeggbb,8月10日,路境行旅 (中正區)Finders Hotel
橘子妮,https://www.tripadvisor.com.tw/Profile/Orange0630,8月4日,路境行旅 (中正區)Finders Hotel
Ting,https://www.tripadvisor.com.tw/Profile/Hjadey,8月1日,路境行旅 (中正區)Finders Hotel
Melody,https://www.tripadvisor.com.tw/Profile/Wuchij,2019年7月,路境行旅 (中正區)Finders Hotel
jotsw,https://www.tripadvisor.com.tw/Profile/yrhhi,2019年7月,路境行旅 (中正區)Finders Hotel
Niwei,https://www.tripadvisor.com.tw/Profile/Niniwei06190120,8月6日,老爺會館台北林森 (中山區)Royal Inn Taipei Linsen
lovedollygirl,https://www.tripadvisor.com.tw/Profile/lovedollygirl,2019年7月,老爺會館台北林森 (中山區)Royal Inn Taipei Linsen
Jet02349198087,https://www.tripadvisor.com.tw/Profile/Jet02349198087,2019年6月,老爺會館台北林森 (中山區)Royal Inn Taipei Linsen
Navigate65868043260,https://www.tripadvisor.com.tw/Profile/Navigate65868043260,2019年5月,老爺會館台北林森 (中山區)Royal Inn Taipei Linsen
Fearless65257743958,https://www.tripadvisor.com.tw/Profile/Fearless65257743958,2019年5月,老爺會館台北林森 (中山區)Royal Inn Taipei Linsen
taipeilover2019,https://www.tripadvisor.com.tw/Profile/taipeilover2019,昨天,悠逸商旅 (士林)UiNN Business Hotel
Wayne Kelso,https://www.tripadvisor.com.tw/Profile/WayneKelso,2019年7月,悠逸商旅 (士林)UiNN Business Hotel
Jiawei_Lin,https://www.tripadvisor.com.tw/Profile/Jiawei_Lin,2019年5月,悠逸商旅 (士林)UiNN Business Hotel
Shan0991,https://www.tripadvisor.com.tw/Profile/Shan0991,2019年5月,悠逸商旅 (士林)UiNN Business Hotel
Lily Pan,https://www.tripadvisor.com.tw/Profile/lily0818,2019年4月,悠逸商旅 (士林)UiNN Business Hotel
Jenny Pek,https://www.tripadvisor.com.tw/Profile/jennyp574,2019年6月,薆悅酒店 (萬華)Inhouse Hotel Heritage
Christineyu63,https://www.tripadvisor.com.tw/Profile/Christineyu63,2019年5月,薆悅酒店 (萬華)Inhouse Hotel Heritage
Sabrina Swee,https://www.tripadvisor.com.tw/Profile/sabrinaswee,2019年5月,薆悅酒店 (萬華)Inhouse Hotel Heritage
Ritzykito,https://www.tripadvisor.com.tw/Profile/ritzykito,2019年4月,薆悅酒店 (萬華)Inhouse Hotel Heritage
shan_xd,https://www.tripadvisor.com.tw/Profile/shan_xd,2019年3月,薆悅酒店 (萬華)Inhouse Hotel Heritage
Julian Shih,https://www.tripadvisor.com.tw/Profile/ogami0622,2019年7月,倆人旅店 (北投)Hotel DOUBLE ONE
afafe,https://www.tripadvisor.com.tw/Profile/afafe0322,2019年7月,倆人旅店 (北投)Hotel DOUBLE ONE
Peter,https://www.tripadvisor.com.tw/Profile/Dreamer801682,2019年7月,倆人旅店 (北投)Hotel DOUBLE ONE
Priscilla C,https://www.tripadvisor.com.tw/Profile/prischua,2019年6月,倆人旅店 (北投)Hotel DOUBLE ONE
EnzoJoseph,https://www.tripadvisor.com.tw/Profile/EnzoJoseph,2019年5月,倆人旅店 (北投)Hotel DOUBLE ONE
Joyce,https://www.tripadvisor.com.tw/Profile/Joyce8128,8月11日,台北松山意舍酒店 (南港)amba Taipei Songshan
88enjoytravel,https://www.tripadvisor.com.tw/Profile/88enjoytravel,8月9日,台北松山意舍酒店 (南港)amba Taipei Songshan
liketravel,https://www.tripadvisor.com.tw/Profile/like_travel2009,8月9日,台北松山意舍酒店 (南港)amba Taipei Songshan
Colin1023,https://www.tripadvisor.com.tw/Profile/Colin1023,8月2日,台北松山意舍酒店 (南港)amba Taipei Songshan
Pui Kei,https://www.tripadvisor.com.tw/Profile/puikei2019,8月1日,台北松山意舍酒店 (南港)amba Taipei Songshan
David,https://www.tripadvisor.com.tw/Profile/dartnelljones,2019年6月,兄弟大飯店 (松山)Brother Hotel Taipei
Mary,https://www.tripadvisor.com.tw/Profile/marykuo,2019年5月,兄弟大飯店 (松山)Brother Hotel Taipei
Cometfist,https://www.tripadvisor.com.tw/Profile/Cometfist,2019年4月,兄弟大飯店 (松山)Brother Hotel Taipei
netcattw,https://www.tripadvisor.com.tw/Profile/netcattw,2019年4月,兄弟大飯店 (松山)Brother Hotel Taipei
簡爆屎,https://www.tripadvisor.com.tw/Profile/Getaway727845,2019年3月,兄弟大飯店 (松山)Brother Hotel Taipei
dyliz,https://www.tripadvisor.com.tw/Profile/dyliz,2019年5月,台北馥敦-馥寓 (松山)Taipei Fullerton Hotel-Maison North
rodney,https://www.tripadvisor.com.tw/Profile/rodneyn982,2019年4月,台北馥敦-馥寓 (松山)Taipei Fullerton Hotel-Maison North
