username,profile_uri,comment_date,hotel_name,UID
chiusharon,https://www.tripadvisor.com.tw/Profile/chiusharon,8月9日,台北凱達大飯店 (萬華)Caesar Metro Taipei, 
jeffreyca307,https://www.tripadvisor.com.tw/Profile/jeffreyca307,2019年7月,台北凱達大飯店 (萬華)Caesar Metro Taipei, 
SamLuk,https://www.tripadvisor.com.tw/Profile/SamLuk,2019年7月,台北凱達大飯店 (萬華)Caesar Metro Taipei, 
terri,https://www.tripadvisor.com.tw/Profile/territerri930,2019年7月,台北凱達大飯店 (萬華)Caesar Metro Taipei, 
Chih,https://www.tripadvisor.com.tw/Profile/Chih20190630,2019年7月,台北凱達大飯店 (萬華)Caesar Metro Taipei, 
Bonnie Ke,https://www.tripadvisor.com.tw/Profile/BonniehatesRyan,8月10日,新驛旅店 - 台北車站二館 (大同)CityInn Hotel - Taipei Station Branch II, 
Emma,https://www.tripadvisor.com.tw/Profile/lavendercherish,8月8日,新驛旅店 - 台北車站二館 (大同)CityInn Hotel - Taipei Station Branch II, 
Cherrie C,https://www.tripadvisor.com.tw/Profile/CherrieC33,2019年7月,新驛旅店 - 台北車站二館 (大同)CityInn Hotel - Taipei Station Branch II, 
Milkc525,https://www.tripadvisor.com.tw/Profile/Milkc525,2019年7月,新驛旅店 - 台北車站二館 (大同)CityInn Hotel - Taipei Station Branch II, 
7veloce,https://www.tripadvisor.com.tw/Profile/7veloce,2019年7月,新驛旅店 - 台北車站二館 (大同)CityInn Hotel - Taipei Station Branch II, 
LucyWong1980,https://www.tripadvisor.com.tw/Profile/LucyWong1980,8月5日,大倉久和大飯店 (中山區)The Okura Prestige Taipei, 
Zoey C,https://www.tripadvisor.com.tw/Profile/chjzoe518,8月2日,大倉久和大飯店 (中山區)The Okura Prestige Taipei, 
Yomotsai,https://www.tripadvisor.com.tw/Profile/suarwin,8月2日,大倉久和大飯店 (中山區)The Okura Prestige Taipei, 
Deanb,https://www.tripadvisor.com.tw/Profile/deanbvii,2019年7月,大倉久和大飯店 (中山區)The Okura Prestige Taipei, 
Selina Tai,https://www.tripadvisor.com.tw/Profile/who201011,2019年6月,大倉久和大飯店 (中山區)The Okura Prestige Taipei, 
Jackie,https://www.tripadvisor.com.tw/Profile/karheiwong,2019年7月,西悠飯店台北店 (大同)CU Hotel Taipei Branch, 
JZSenpai,https://www.tripadvisor.com.tw/Profile/JZSenpai2019,2019年6月,西悠飯店台北店 (大同)CU Hotel Taipei Branch, 
Gigi C,https://www.tripadvisor.com.tw/Profile/miss2G,2019年6月,西悠飯店台北店 (大同)CU Hotel Taipei Branch, 
Chia-Ping L,https://www.tripadvisor.com.tw/Profile/Global812212,2019年5月,西悠飯店台北店 (大同)CU Hotel Taipei Branch, 
Sandy Tan,https://www.tripadvisor.com.tw/Profile/SandyToastie,2019年4月,西悠飯店台北店 (大同)CU Hotel Taipei Branch, 
 Peter C1212, ,,台北天成大飯店 (中正區) Cosmos Hotel Taipei,UID_8D43587532F37D18EBF112BAEE757C4E-SRC_698124567
 rickliu6024台灣台北3, ,住宿日期： 2019年7月,台北天成大飯店 (中正區) Cosmos Hotel Taipei,UID_8C8E33AADD85177021A356AE12249A5C-SRC_693679316
