hotel_url,restaurants_nearby,spot_nearby
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1224203-Reviews-Taipei_Garden_Hotel-Zhongzheng_District_Taipei.html,"Prime One牛排館, hot 7 - 台北家樂福桂林店, 六國餐廳 台北花園大酒店, Cafe Grazie 義式屋古拉爵","家樂福(桂林店), 剝皮寮老街, 新富町文化市場, 艋舺清水巖祖師廟"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d2017876-Reviews-CityInn_Hotel_Plus_Ximending_Branch-Zhongzheng_District_Taipei.html,"藝奇 - 台北衡陽店, Mala Yuanyang Hotpot, 老牌牛肉拉麺大王, T.G.I.Fridays(西門店)","總統府, 西門紅樓, 天后宮, 西門站地下商城"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d12439218-Reviews-Caesar_Metro_Taipei-Wanhua_Taipei.html,"福州元祖胡椒餅, 周記肉粥, 四方阿九魯肉飯, 陳記腸蚵專業麵線","龍山寺, 華西街觀光夜市, 龍都冰果專業家, 廣州街觀光夜市"
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1408037-Reviews-CityInn_Hotel_Taipei_Station_Branch_II-Datong_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d3371409-Reviews-The_Okura_Prestige_Taipei-Zhongshan_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d1372927-Reviews-YoMi_Hotel-Zhongshan_District_Taipei.html,"A Cut Steakhouse, 鼎極魚翅, 鰻味屋, Cama Cafe（民生馬偕店）","臺北戲棚, 雙連市場, 中山地下街, 欣欣秀泰影城"
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d4314606-Reviews-CU_Hotel_Taipei_Branch-Datong_Taipei.html,"冰讚, 雙連圓仔湯, 古早味豆花, 星巴克(保安門市)","林華泰茶行, 寧夏路夜市, 雙連市場, 大稻埕碼頭"
https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d455561-Reviews-Cosmos_Hotel_Taipei-Zhongzheng_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d306447-Reviews-Grand_Hyatt_Taipei-Xinyi_District_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1797213-Reviews-Palais_de_Chine_Hotel-Datong_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d598759-Reviews-Ambience_Hotel-Zhongshan_District_Taipei.html,"魚紳海鮮美食餐廳, 鮮定味生猛海鮮, Wayne's Boston 波士頓餐廳 酒吧 秘密基地, 中央市場生猛活海鮮","華山1914文化創意產業園區, 樹火紀念紙博物館, 三創生活園區, 三創生活園區"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d3654334-Reviews-WESTGATE_Hotel-Wanhua_Taipei.html,"藝奇 - 台北衡陽店, Mala Yuanyang Hotpot, T.G.I.Fridays(西門店), 天天利美食坊","西門町, 西門紅樓, 天后宮, 西門站地下商城"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306446-Reviews-Grand_Hotel_Taipei-Zhongshan_District_Taipei.html,"富樂台式涮涮鍋行, AN58西班牙創意料理(承德店), 85度C咖啡蛋糕烘焙專賣店 台北劍潭店, 圓苑餐廳 - 台北圓山大飯店","忠烈祠, 台北市立美術館, 士林觀光夜市, 士林官邸"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d302516-Reviews-Hotel_Royal_Nikko_Taipei-Zhongshan_District_Taipei.html,"梅子鰻蒲燒屋日本料理, 明宮粵菜廳 台北老爺大酒店, 梅子餐廰, 夏慕尼 - 台北中山北店","李制餅家, 新光三越 (台北南西店), 老爺烘培坊-老爺大酒店, 頂好超市 - 林森北路"
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2241584-Reviews-Swiio_Hotel_Ximending-Wanhua_Taipei.html,"T.G.I.Fridays(西門店), 北回木瓜牛奶, 便所欢乐主题餐厅台北西門町店, 賽門甜不辣","西門町, 天后宮, 萬年商業大樓, 獅子林商業大樓"
https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8263705-Reviews-Cityinn_Hotel_Plus_Fuxing_N_Rd_Branch-Zhongshan_District_Taipei.html,"非常泰-復興店, 荷風中國菜, 穗科, 貝里尼Bellini Caffe","行天宮, 松山機場觀景台, Breeze Nanjing, 台北松山機場旅遊服務中心"
https://www.tripadvisor.com.tw/Hotel_Review-g13808515-d5283499-Reviews-Humble_House_Taipei-Xinyi_District_Taipei.html,"紫艷酒吧, Woobar, 樂軒松阪亭, 紫艷中餐廳","誠品書店 - 信義店, 新光三越 台北信義新天地, ATT 4 FUN, Babe18"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d302103-Reviews-Shangri_La_s_Far_Eastern_Plaza_Hotel_Taipei-Da_an_Taipei.html,"香宮, 馬可波羅餐廳, 上海醉月樓, Ibuki - Shangri-La","富陽自然生態公園, 國家圖書館-資訊圖書館, K Underground Mall, 豪邁威士忌"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d1448672-Reviews-Park_Taipei_Hotel-Da_an_Taipei.html,,
https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d5893025-Reviews-Meander_Taipei_Hostel-Wanhua_Taipei.html,"黔園川菜餐庁, 梁山泊小籠湯包, 馬林漁, 雅香石頭火鍋成都店","西門町, 天后宮, 艋舺清水巖祖師廟, 萬年商業大樓"
https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d10495711-Reviews-Green_World_Hotel_Zhongxiao-Da_an_Taipei.html,"布娜飛比利時啤酒餐廳 台北市民店, 黑熊先生巧克力布朗尼, 樂軒和牛專門店, 大腕燒肉專門店","誠品書店 (敦南總店), 糖村 - 台北敦南二店, 好様本事, 微風忠孝"
