userName,user_link,commented_hotel
brooke,https://www.tripadvisor.com.tw/Profile/brookeggbb,https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12404865-Reviews-Finders_Hotel-Zhongzheng_District_Taipei.html
橘子妮,https://www.tripadvisor.com.tw/Profile/Orange0630,
Ting,https://www.tripadvisor.com.tw/Profile/Hjadey,https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12404865-Reviews-Finders_Hotel-Zhongzheng_District_Taipei.html
Melody,https://www.tripadvisor.com.tw/Profile/Wuchij,
jotsw,https://www.tripadvisor.com.tw/Profile/yrhhi,"https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12404865-Reviews-Finders_Hotel-Zhongzheng_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g1066461-d13140365-Reviews-MIMARU_TOKYO_UENO_NORTH-Taito_Tokyo_Tokyo_Prefecture_Kanto.html"
Niwei,https://www.tripadvisor.com.tw/Profile/Niniwei06190120,https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html
lovedollygirl,https://www.tripadvisor.com.tw/Profile/lovedollygirl,"https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g298461-d1801909-Reviews-Crimson_Resort_and_Spa_Mactan-Lapu_Lapu_Mactan_Island_Cebu_Island_Visayas.html, https://www.tripadvisor.com.tw/Hotel_Review-g298564-d2317992-Reviews-The_Royal_Park_Hotel_Kyoto_Sanjo-Kyoto_Kyoto_Prefecture_Kinki.html, https://www.tripadvisor.com.tw/Hotel_Review-g1136501-d1769926-Reviews-Pantone_Hotel-Saint_Gilles_Brussels.html, https://www.tripadvisor.com.tw/Hotel_Review-g1066457-d658576-Reviews-Hotel_Sunroute_Higashi_Shinjuku-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html, https://www.tripadvisor.com.tw/Hotel_Review-g1120615-d2461758-Reviews-Snowlines_Lodge_Hakuba-Hakuba_mura_Kitaazumi_gun_Nagano_Prefecture_Koshinetsu_Chubu.html, https://www.tripadvisor.com.tw/Hotel_Review-g482942-d253976-Reviews-Hotel_Keti-Fira_Santorini_Cyclades_South_Aegean.html, https://www.tripadvisor.com.tw/Hotel_Review-g662620-d611945-Reviews-Pelican_Hotel-Mykonos_Town_Mykonos_Cyclades_South_Aegean.html, https://www.tripadvisor.com.tw/Hotel_Review-g189400-d1453555-Reviews-Athens_Center_Square-Athens_Attica.html, https://www.tripadvisor.com.tw/Hotel_Review-g293916-d305228-Reviews-Baiyoke_Sky_Hotel-Bangkok.html"
Jet02349198087,https://www.tripadvisor.com.tw/Profile/Jet02349198087,https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html
Navigate65868043260,https://www.tripadvisor.com.tw/Profile/Navigate65868043260,https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html
Fearless65257743958,https://www.tripadvisor.com.tw/Profile/Fearless65257743958,https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html
taipeilover2019,https://www.tripadvisor.com.tw/Profile/taipeilover2019,https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d10541923-Reviews-UiNN_Business_Hotel-Shilin_Taipei.html
Wayne Kelso,https://www.tripadvisor.com.tw/Profile/WayneKelso,
Jiawei_Lin,https://www.tripadvisor.com.tw/Profile/Jiawei_Lin,"https://www.tripadvisor.com.tw/Hotel_Review-g294265-d301680-Reviews-M_Hotel_Singapore-Singapore.html, https://www.tripadvisor.com.tw/Hotel_Review-g298278-d4860383-Reviews-Legoland_Malaysia_Resort-Johor_Bahru_Johor_Bahru_District_Johor.html, https://www.tripadvisor.com.tw/Hotel_Review-g294265-d4116146-Reviews-Dorsett_Singapore-Singapore.html, https://www.tripadvisor.com.tw/Hotel_Review-g294265-d4609397-Reviews-V_Hotel_Bencoolen-Singapore.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d10541923-Reviews-UiNN_Business_Hotel-Shilin_Taipei.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808652-d6701353-Reviews-Hotel_MU-Zhongli_Taoyuan.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806852-d13319446-Reviews-Joye_House-Sanyi_Miaoli.html, https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d4163320-Reviews-Koru_Hostel-Hengchun_Pingtung.html, https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8263705-Reviews-Cityinn_Hotel_Plus_Fuxing_N_Rd_Branch-Zhongshan_District_Taipei.html"
