title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
遠雄悅來大飯店,"花蓮排名第 1 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806886-d661117-Reviews-Hualien_FarGlory_Hotel-Shoufeng_Hualien.html,23.83481788635254,121.53962707519531,"NT$3,745",壽豐鄉鹽寮村山嶺18號,4.5,花蓮,壽豐,"NT$3,433 - NT$6,959",4.5,1218,https://media-cdn.tripadvisor.com/media/photo-s/13/08/45/4d/caption.jpg,"海景, 禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 迷你吧, 平板電視, 客房服務, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 兒童俱樂部, 機場接送, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 成人游泳池, 室內游泳池, 室外游泳池, 溫水游泳池, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 游泳池酒吧, 巴士接駁服務, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 屋頂露台, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",23.908281,121.59746,
康橋大飯店 - 花蓮站前館,"花蓮排名第 2 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d7623178-Reviews-Kindness_Hotel_Hualien_Zhan_Chien-Hualien_City_Hualien.html,23.908281326293945,121.59745788574219,"NT$1,841",國聯五路101號,3.5,花蓮,花蓮市,"NT$2,196 - NT$4,021",5.0,796,https://media-cdn.tripadvisor.com/media/photo-s/0b/a0/5a/e5/caption.jpg,免費停車,,23.991465,121.60521,"NT$3,913"
煙波大飯店花蓮館,"花蓮排名第 3 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d3200526-Reviews-Lakeshore_Hotel_Hualien-Hualien_City_Hualien.html,23.991464614868164,121.60520935058594,"NT$2,668",花蓮市中美路142號,4.0,花蓮,花蓮市,"NT$2,227 - NT$4,732",4.5,273,https://media-cdn.tripadvisor.com/media/photo-s/0d/c4/ac/c8/caption.jpg,"海景, 禁菸客房, 套房, 家庭房, 空調設施, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 宴會廳, 禮賓服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 禁菸飯店, 乾洗服務, 洗衣服務",23.987034,121.62234,
翰品酒店花蓮,"花蓮排名第 4 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d306392-Reviews-Chateau_de_Chine_Hotel_Hualien-Hualien_City_Hualien.html,23.98703384399414,121.6223373413086,"NT$2,123",花蓮市永興路2號,4.5,花蓮,花蓮市,"NT$2,072 - NT$4,609",4.5,2265,https://media-cdn.tripadvisor.com/media/photo-s/11/6f/18/7c/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 保險箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 海灘, 兒童可享免費住宿, 兒童活動 (適合兒童/家庭), 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 桑拿, 成人游泳池, 室外游泳池, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 兒童俱樂部, 免費機場接送, 免費接駁或計程車服務, 機場接送, 巴士接駁服務, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",23.991852,121.626755,
麗軒國際飯店,"花蓮排名第 5 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d2544209-Reviews-Li_Shiuan_International_Hotel-Hualien_City_Hualien.html,23.991851806640625,121.62675476074219,"NT$1,322",中美路99-1號,3.5,花蓮,花蓮市,"NT$1,485 - NT$3,897",4.5,1357,https://media-cdn.tripadvisor.com/media/photo-s/08/fe/c0/56/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 機場接送, 提供上網服務的商務中心, 會議設施, Spa, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 巴士接駁服務, 宴會廳, 會議室, 屋頂露台, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 自助式洗衣",23.991047,121.62556,
捷絲旅花蓮中正館,"花蓮排名第 6 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d5288138-Reviews-Just_Sleep_Hualien_Zhongzheng-Hualien_City_Hualien.html,23.991046905517578,121.62555694580078,"NT$1,923",中正路396號,3.5,花蓮,花蓮市,"NT$2,196 - NT$4,516",5.0,1408,https://media-cdn.tripadvisor.com/media/photo-s/0f/c7/02/32/lobby.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 私人陽台, 冰箱, 平板電視, 保險箱","免費停車, 免費高速上網 (WiFi), 餐廳, 兒童可享免費住宿, 兒童俱樂部, 免費機場接送, 提供上網服務的商務中心, 禮賓服務, 停車, 免費網際網路, 無線網路, 網際網路, 提供早餐, 自助式早餐, 免費接駁或計程車服務, 機場接送, 巴士接駁服務, 禁菸飯店, 乾洗服務, 洗衣服務, 自助式洗衣",23.974794,121.6037,
成旅晶贊飯店 - 花蓮假期,"花蓮排名第 7 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d7812174-Reviews-Park_City_Hotel_Hualien_Vacation-Hualien_City_Hualien.html,23.974794387817383,121.60369873046875,"NT$1,215",花蓮市中華路231號,3.5,花蓮,花蓮市,"NT$1,516 - NT$3,928",4.5,258,https://media-cdn.tripadvisor.com/media/photo-s/08/be/79/7c/caption.jpg,"空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 機場接送, 提供上網服務的商務中心, 會議室, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 巴士接駁服務, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 自助式洗衣",23.975182,121.60215,"NT$2,338"
太魯閣晶英酒店,"花蓮排名第 8 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808541-d306391-Reviews-Silks_Place_Taroko-Xiulin_Hualien.html,23.975181579589844,121.6021499633789,"NT$8,570",秀林鄉天祥路18號太魯閣國家公園內,4.5,花蓮,秀林,"NT$8,011 - NT$17,568",4.5,1733,https://media-cdn.tripadvisor.com/media/photo-s/14/89/d3/bc/exterior.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 私人陽台, 迷你吧, 平板電視, 客房服務, 保險箱, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 網球場, 兒童活動 (適合兒童/家庭), 兒童俱樂部, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 桑拿, 無邊際游泳池, 屋頂游泳池, 景觀游泳池, 室內游泳池, 室外游泳池, 溫水游泳池, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 屋頂酒吧, 機場接送, 巴士接駁服務, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 臉部療程, 全身按摩, 屋頂露台, 禮賓服務, 禮品商店, 禁菸飯店, 乾洗服務, 洗衣服務",24.181171,121.49422,
花蓮藍天麗池飯店,"花蓮排名第 9 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d652963-Reviews-Azure_Hotel-Hualien_City_Hualien.html,24.181171417236328,121.49421691894531,"NT$1,657",花蓮市中正路590號,4.0,花蓮,花蓮市,"NT$1,887 - NT$3,712",4.5,939,https://media-cdn.tripadvisor.com/media/photo-s/11/7f/48/58/caption.jpg,"禁菸客房, 家庭房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議設施, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 宴會廳, 會議室, 乾洗服務, 自助式洗衣",23.978895,121.61011,"NT$9,046"
麗格休閒飯店,"花蓮排名第 10 的超值住宿地點，共 2,229 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806634-d1187155-Reviews-Liga_Hotel-Hualien_City_Hualien.html,23.97889518737793,121.610107421875,"NT$1,380",花蓮市商校街258號,3.5,花蓮,花蓮市,"NT$1,299 - NT$8,846",4.5,581,https://media-cdn.tripadvisor.com/media/photo-s/08/fe/e3/2e/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 餐廳, 機場接送, 提供上網服務的商務中心, 會議設施, 行李存放, 禮賓服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐, 宴會廳, 會議室, 禁菸飯店, 24 小時服務櫃台, 乾洗服務, 洗衣服務, 自助式洗衣",23.986786,121.59862,
