title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
德立莊酒店-高雄博愛館,高雄排名第 1 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806846-d1605535-Reviews-Midtown_Richardson_Kaohsiung_Boai-Sanmin_Kaohsiung.html,22.73064422607422,120.4015121459961,"NT$1,150",博愛一路338號,3.5,高雄,三民,"NT$1,083 - NT$2,660",4.5,203,https://media-cdn.tripadvisor.com/media/photo-s/0d/fb/d6/97/getlstd-property-photo.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 自助式早餐, 禮賓服務, 禁菸飯店, 自助式洗衣, 網際網路","禁菸客房, 家庭房, 空調設施, 冰箱, 平板電視",22.650196,120.30367,
康橋大飯店-站前館,高雄排名第 2 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806846-d6888015-Reviews-Kindness_Hotel_Kaohsiung_Main_Station_Front-Sanmin_Kaohsiung.html,22.650196075439453,120.30367279052734,"NT$1,510",建國二路295號,3.0,高雄,三民,"NT$1,763 - NT$3,433",5.0,1199,https://media-cdn.tripadvisor.com/media/photo-s/10/53/ea/0c/business-double-room--v17060031.jpg,"免費停車, 免費高速上網 (WiFi), 免費早餐, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 免費網際網路, 無線網路, 網際網路, 餐廳, 自助式早餐, 自助式洗衣","禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視",22.637733,120.30294,
高雄漢來大飯店,高雄排名第 3 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806805-d306394-Reviews-Grand_Hi_Lai_Hotel_Kaohsiung-Qianjin_Kaohsiung.html,22.637733459472656,120.30294036865234,"NT$3,473",前金區成功一路266號,4.5,高雄,前金,"NT$3,186 - NT$6,403",4.5,958,https://media-cdn.tripadvisor.com/media/photo-s/0a/58/a9/a8/pool--v11093855.jpg,"免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 機場接送, 提供上網服務的商務中心, 會議設施, 停車, 免費網際網路, 無線網路, 網際網路, 浴缸, 室外游泳池, 酒吧/酒廊, 餐廳, 自助式早餐, 游泳池畔酒吧, 屋頂酒吧, 巴士接駁服務, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 24 小時服務櫃台, 乾洗服務, 洗衣服務","海景, 禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 平板電視",22.619429,120.29625,
捷絲旅高雄站前館,高雄排名第 4 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808513-d8598482-Reviews-Just_Sleep_Kaohsiung_Station-Xinxing_Kaohsiung.html,22.619428634643555,120.29624938964844,"NT$2,251",新興區中山一路280號,4.0,高雄,新興,"NT$2,041 - NT$4,237",5.0,1455,https://media-cdn.tripadvisor.com/media/photo-s/0e/fe/f1/60/mentari.jpg,"免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 提供上網服務的商務中心, 會議室, 行李存放, 禮賓服務, 停車, 免費網際網路, 無線網路, 網際網路, 餐廳, 自助式早餐, 免費即溶咖啡, 禁菸飯店, 乾洗服務, 洗衣服務, 自助式洗衣","禁菸客房, 套房, 家庭房, 遮光窗簾, 空調設施, 房務, 冰箱, 平板電視, 客房服務, 保險箱",22.635332,120.30243,"NT$1,987"
樹屋旅店,高雄排名第 5 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806805-d6216536-Reviews-The_Tree_House-Qianjin_Kaohsiung.html,22.635332107543945,120.30242919921875,NT$911,前金區六合二路132號,3.5,高雄,前金,"NT$1,113 - NT$2,969",4.5,1332,https://media-cdn.tripadvisor.com/media/photo-s/07/c7/e4/24/caption.jpg,"免費高速上網 (WiFi), 游泳池, 屋頂游泳池, 免費早餐, 兒童活動 (適合兒童/家庭), 屋頂露台, 禮賓服務, 乾洗服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 室外游泳池, 餐廳, 游泳池酒吧, 自助式早餐, 禁菸飯店, 自助式洗衣","禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視",22.631166,120.29602,
河堤國際商旅,高雄排名第 6 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808460-d1811673-Reviews-The_Riverside_Hotel_International-Xiaogang_Kaohsiung.html,22.631166458129883,120.2960205078125,NT$933,小港區宏平路447號,3.0,高雄,小港,"NT$1,144 - NT$2,165",4.5,423,https://media-cdn.tripadvisor.com/media/photo-s/0c/8f/4c/f7/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費早餐, 免費機場接送, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 洗衣服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 免費接駁或計程車服務, 機場接送, 巴士接駁服務, 自助式洗衣","禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視",22.56983,120.35632,
康橋大飯店 - 三多商圈館,高雄排名第 7 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d7595860-Reviews-Kindness_Hotel_Sanduo_Shopping_District-Lingya_Kaohsiung.html,22.637475967407227,120.30477905273438,"NT$1,378",苓雅區林森二路10號,3.0,高雄,苓雅,"NT$1,577 - NT$3,402",5.0,539,https://media-cdn.tripadvisor.com/media/photo-s/09/0b/c1/42/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 提供上網服務的商務中心, 禁菸飯店, 乾洗服務, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 自助式洗衣","禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視",22.615894,120.30839,
捷絲旅高雄中正館,高雄排名第 8 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d5288137-Reviews-Just_Sleep_Kaohsiung_Zhongzheng-Lingya_Kaohsiung.html,22.5698299407959,120.3563232421875,"NT$1,299",苓雅區中正一路134號,3.5,高雄,苓雅,"NT$1,423 - NT$2,907",4.5,1065,https://media-cdn.tripadvisor.com/media/photo-s/0f/c7/0d/be/lobby.jpg,"停車, 免費高速上網 (WiFi), 餐廳, 機場接送, 提供上網服務的商務中心, 會議設施, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐, 免費即溶咖啡, 會議室, 乾洗服務, 自助式洗衣","禁菸客房, 家庭房, 遮光窗簾, 空調設施, 房務, 保險箱, 冰箱, 平板電視",22.628435,120.33191,
福華大飯店,高雄排名第 9 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808513-d301565-Reviews-Howard_Plaza_Hotel_Kaohsiung-Xinxing_Kaohsiung.html,22.615894317626953,120.30838775634766,"NT$1,855",新興區七賢一路311號,4.0,高雄,新興,"NT$2,227 - NT$7,485",4.0,476,https://media-cdn.tripadvisor.com/media/photo-s/07/81/4d/e1/caption.jpg,"免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 網際網路, 浴缸, 屋頂游泳池, 室外游泳池, 餐廳, 提供早餐, 自助式早餐, 宴會廳, 會議室, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務","禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 冰箱, 平板電視",22.63392,120.30809,
康橋商旅光榮碼頭館,高雄排名第 10 的超值住宿地點，共 680 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806674-d3605095-Reviews-Kindness_Hotel_Kaohsiung_Guang_Rong_Pier-Lingya_Kaohsiung.html,22.628435134887695,120.3319091796875,"NT$1,558",青年2路169號,3.5,高雄,苓雅,"NT$1,794 - NT$3,217",5.0,1135,https://media-cdn.tripadvisor.com/media/photo-s/10/ce/55/e7/harbor-view-twin-room--v17058827.jpg,"免費停車, 免費高速上網 (WiFi), 免費早餐, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 停車, 免費網際網路, 無線網路, 網際網路, 餐廳, 自助式早餐, 自助式洗衣","海景, 禁菸客房, 家庭房, 空調設施, 冰箱, 平板電視",22.617687,120.294876,"NT$1,299"
