title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
長榮桂冠基隆酒店,基隆排名第 1 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808856-d447052-Reviews-Evergreen_Laurel_Hotel_Keelung-Zhongzheng_District_Keelung.html,25.135168075561523,121.7461166381836,"NT$2,249",中正路62-1號,4.0,基隆,中正區,"NT$3,111 - NT$14,202",4.0,270,https://media-cdn.tripadvisor.com/media/photo-s/03/06/7b/f0/caption.jpg,"海景, 禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 網際網路, 室內游泳池, 溫水游泳池, 酒吧/酒廊, 餐廳, 自助式早餐, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
享住旅店,基隆排名第 2 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808856-d10387128-Reviews-Just_Live_Inn-Zhongzheng_District_Keelung.html,25.130008697509766,121.7460708618164,"NT$1,560",信一路156號,3.5,基隆,中正區,"NT$1,822 - NT$6,724",4.0,27,https://media-cdn.tripadvisor.com/media/photo-s/0b/b7/ed/18/caption.jpg,套房,"免費網際網路, 酒吧/酒廊","NT$1,573"
集好旅店,基隆排名第 3 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806823-d13004952-Reviews-Keebe_Hotel-Ren_ai_District_Keelung.html,25.1276798248291,121.75077056884766,"NT$2,167","仁愛區仁二路215號 Keelung City 200,Taiwan",3.5,基隆,仁愛區,"NT$2,482 - NT$3,990",4.5,18,https://media-cdn.tripadvisor.com/media/photo-s/11/85/b3/f1/very-clean-and-new-hotel.jpg,餐廳,,
北都大飯店,基隆排名第 4 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808856-d3961467-Reviews-Beidoo_Hotel-Zhongzheng_District_Keelung.html,25.155729293823242,121.76409149169922,"NT$1,368",中正區信二路319號,3.5,基隆,中正區,"NT$1,571 - NT$3,048",3.5,33,https://media-cdn.tripadvisor.com/media/photo-s/0e/4c/bb/aa/caption.jpg,"禁菸客房, 家庭房, 空調設施, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 會議室, 禁菸飯店, 洗衣服務, 公用無線網路, 網際網路","NT$1,368"
華帥海景飯店,基隆排名第 5 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806823-d589328-Reviews-Harbor_View_Hotel-Ren_ai_District_Keelung.html,25.13063621520996,121.74088287353516,"NT$1,417",仁愛區孝二路108號,3.5,基隆,仁愛區,"NT$1,602 - NT$2,231",3.5,101,https://media-cdn.tripadvisor.com/media/photo-s/03/cd/d9/30/caption.jpg,"禁菸客房, 家庭房, 空調設施","免費高速上網 (WiFi), 免費網際網路, 無線網路, 網際網路, 免費早餐, 自助式早餐, 禁菸飯店, 自助式洗衣",
香草藝術旅店,基隆排名第 6 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808517-d7717096-Reviews-Herb_Art_Hotel-Xinyi_District_Keelung.html,25.13010597229004,121.74666595458984,"NT$1,299",信義區義三路6號,3.0,基隆,信義區,"NT$1,477 - NT$2,388",4.0,134,https://media-cdn.tripadvisor.com/media/photo-s/07/6d/67/99/caption.jpg,餐廳,,
東岸之星精品旅店,基隆排名第 7 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808856-d4696815-Reviews-E_Coast_Star_Hotel-Zhongzheng_District_Keelung.html,25.132789611816406,121.74515533447266,"NT$1,560",信三路20號,3.0,基隆,中正區,"NT$1,760 - NT$2,765",4.0,119,https://media-cdn.tripadvisor.com/media/photo-s/04/56/c5/43/getlstd-property-photo.jpg,"禁菸客房, 空調設施, 客房服務, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 禮賓服務, 禁菸飯店, 自助式洗衣, 無線網路, 網際網路, 自助式早餐",
永豐旅社,基隆排名第 8 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806823-d7646229-Reviews-Yung_Fon_Hotel-Ren_ai_District_Keelung.html,25.12845802307129,121.74246215820312,NT$911,愛三路49巷14號2-3樓,2.5,基隆,仁愛區,"NT$880 - NT$1,602",3.5,29,https://media-cdn.tripadvisor.com/media/photo-s/0c/bc/d1/9b/caption.jpg,,免費網際網路,
蔚藍海景旅店,基隆排名第 9 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808856-d1390569-Reviews-Blue_Ocean_Hotel-Zhongzheng_District_Keelung.html,25.146249771118164,121.78359985351562,"NT$1,804",中正區北寧路250-6號,3.0,基隆,中正區,"NT$1,980 - NT$3,079",3.5,14,https://media-cdn.tripadvisor.com/media/photo-s/07/2e/c7/27/blue-ocean-hotel.jpg,"禁菸客房, 空調設施, 客房服務, 迷你吧","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 禮賓服務, 禁菸飯店, 洗衣服務","NT$1,980"
輕旅,基隆排名第 10 的超值住宿地點，共 37 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806823-d15103759-Reviews-Light_Inn-Ren_ai_District_Keelung.html,25.129369735717773,121.74307250976562,"NT$1,043",愛三路87號 6樓之1,2.0,基隆,仁愛區,"NT$691 - NT$3,582",4.5,2,https://media-cdn.tripadvisor.com/media/photo-s/14/e2/c7/bf/photo6jpg.jpg,,,
