title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
雲品溫泉酒店日月潭,南投排名第 1 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d1026343-Reviews-Fleur_de_Chine_Hotel_Sun_Moon_Lake-Yuchi_Nantou.html,23.870929718017578,120.9233627319336,"NT$8,999",魚池鄉日月潭中正路23號,5.0,南投,魚池,"NT$8,829 - NT$18,570",4.5,1542,https://media-cdn.tripadvisor.com/media/photo-s/0f/a3/45/e9/premier-suite-lake-view-2--v16759.jpg,"海景, 禁菸客房, 套房, 家庭房, 空調設施, 房務, 迷你吧, 平板電視, 私人陽台, 客房服務, 保險箱, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 兒童俱樂部, 免費接駁或計程車服務, 停車, 免費網際網路, 無線網路, 網際網路, 浴缸, 桑拿, 成人游泳池, 室內游泳池, 溫水游泳池, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 屋頂酒吧, 巴士接駁服務, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 屋頂露台, 禮賓服務, 禁菸飯店, 管家服務, 乾洗服務, 洗衣服務","NT$9,038"
溪頭夏緹飯店,南投排名第 2 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806711-d2669370-Reviews-Shante_Hotel_Chitou-Lugu_Nantou.html,23.689130783081055,120.79095458984375,"NT$1,784",興產路24-18號,3.5,南投,鹿谷,"NT$2,011 - NT$4,210",4.5,1769,https://media-cdn.tripadvisor.com/media/photo-s/15/d2/24/9f/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 私人陽台, 冰箱, 平板電視, 客房服務","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 免費接駁或計程車服務, 會議室, 禮賓服務, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 巴士接駁服務, 禁菸飯店",
溪頭米堤大飯店,南投排名第 3 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806711-d1628315-Reviews-Le_Midi_Hotel_Chitou-Lugu_Nantou.html,23.683189392089844,120.79544830322266,"NT$3,860",米堤街1號,3.5,南投,鹿谷,"NT$4,399 - NT$8,327",4.5,533,https://media-cdn.tripadvisor.com/media/photo-s/11/6d/70/c6/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 允許攜帶寵物 (可帶狗/寵物), 巴士接駁服務, 免費網際網路, 無線網路, 網際網路, 浴缸, 酒吧/酒廊, 餐廳, 自助式早餐, 提供上網服務的商務中心, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
溪頭金台灣山莊,南投排名第 4 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806711-d2041232-Reviews-King_Taiwan_Hotel_Lugu-Lugu_Nantou.html,23.688806533813477,120.79080963134766,"NT$1,770",鹿谷鄉內湖村興產路25-2號,3.5,南投,鹿谷,"NT$2,105 - NT$4,210",4.5,176,https://media-cdn.tripadvisor.com/media/photo-s/09/56/ac/da/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 兒童活動 (適合兒童/家庭), 巴士接駁服務, 會議室, 禁菸飯店, 無線網路, 公用無線網路, 網際網路, 餐廳","NT$1,770"
清境峰情人文民宿,南投排名第 5 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806822-d2247245-Reviews-Julie_s_Garden_B_B_Cingjing-Ren_ai_Township_Nantou.html,24.037525177001953,121.15547180175781,"NT$2,134",仁愛鄉榮光巷46號 ,2.5,南投,仁愛鄉,"NT$1,980 - NT$4,902",4.5,343,https://media-cdn.tripadvisor.com/media/photo-s/11/3b/3b/61/caption.jpg,"禁菸客房, 套房, 家庭房, 私人陽台, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 允許攜帶寵物 (可帶狗/寵物), 機場接送, 禁菸飯店, 無線網路, 網際網路, 自助式早餐, 巴士接駁服務",
31民宿 ,南投排名第 6 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806822-d2247222-Reviews-31_Minsu-Ren_ai_Township_Nantou.html,24.074722290039062,121.17029571533203,"NT$2,165",仁愛鄉博望巷31號 ,3.0,南投,仁愛鄉,-NT$1,5.0,182,https://media-cdn.tripadvisor.com/media/photo-s/13/dc/ff/06/4.jpg,"禁菸客房, 套房, 小廚房","免費停車, 免費高速上網 (WiFi), 免費早餐, 允許攜帶寵物 (可帶狗/寵物)",
5Boat B&B 日月潭五船民宿,南投排名第 7 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d6921356-Reviews-5Boat-Yuchi_Nantou.html,23.86722183227539,120.90691375732422,"NT$1,842",魚池鄉水社村中山路292號,3.5,南投,魚池,"NT$2,137 - NT$5,279",5.0,55,https://media-cdn.tripadvisor.com/media/photo-s/06/4f/05/7a/caption.jpg,免費高速上網 (WiFi),,"NT$1,978"
溪頭聽濤園渡假山莊民宿 ,南投排名第 8 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806711-d2247032-Reviews-Ting_Tau_Garden_Resort_Bungalow-Lugu_Nantou.html,23.692668914794922,120.78292083740234,"NT$3,551",鹿谷鄉愛鄉路1-12號 ,3.5,南投,鹿谷,"NT$2,199 - NT$4,242",5.0,275,https://media-cdn.tripadvisor.com/media/photo-s/15/ca/30/7b/caption.jpg,"禁菸客房, 套房, 空調設施, 客房服務, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 自助式早餐, 禁菸飯店, 公用無線網路, 網際網路",
日月潭桂月村,南投排名第 9 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d633818-Reviews-Laurel_Villa-Yuchi_Nantou.html,23.864757537841797,120.91130828857422,"NT$2,667","魚池鄉日月潭水社村名勝街28號 Shuishe Village, Sun Moon Lake, Yuchih Township",3.0,南投,魚池,"NT$3,048 - NT$4,996",5.0,310,https://media-cdn.tripadvisor.com/media/photo-s/0f/7c/32/1c/caption.jpg,免費高速上網 (WiFi),,
苔米屋,南投排名第 10 的超值住宿地點，共 995 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808635-d1747790-Reviews-Timing_House-Yuchi_Nantou.html,23.865875244140625,120.9117431640625,"NT$2,237",魚池鄉(日月潭)水社村中山路123號,3.0,南投,魚池,"NT$1,822 - NT$2,985",5.0,254,https://media-cdn.tripadvisor.com/media/photo-s/0f/2f/b5/83/caption.jpg,"禁菸客房, 套房, 空調設施, 平板電視","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 免費早餐, 禁菸飯店",
