title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
墾丁亞曼達會館,"屏東排名第 1 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d2613017-Reviews-Kenting_Amanda_Hotel-Hengchun_Pingtung.html,22.33926773071289,120.37020111083984,"NT$2,944",恆春鎮南灣路330號,4.0,屏東,恆春,"NT$2,536 - NT$7,980",5.0,1341,https://media-cdn.tripadvisor.com/media/photo-s/11/f6/f5/9e/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 客房服務, 保險箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 巴士接駁服務, Spa, 免費網際網路, 無線網路, 網際網路, 浴缸, 室內游泳池, 酒吧/酒廊, 餐廳, 自助式早餐, 游泳池酒吧, 屋頂露台, 禮賓服務, 禁菸飯店",21.966433,120.75796,
河堤時尚旅店 - 恆春館,"屏東排名第 2 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d3177698-Reviews-The_Riverside_Hotel_Hengchun-Hengchun_Pingtung.html,21.966432571411133,120.7579574584961,"NT$1,247",恆春鎮恆南路123號,3.0,屏東,恆春,"NT$1,237 - NT$4,083",4.5,1659,https://media-cdn.tripadvisor.com/media/photo-s/0e/c9/c5/05/delicately-family-room-2--v160326.jpg,"禁菸客房, 套房, 家庭房, 遮光窗簾, 空調設施, 房務, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費早餐, 有腳踏車, 兒童可享免費住宿, 行李存放, 禁菸飯店, 乾洗服務, 停車, 免費網際網路, 無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 洗衣服務, 自助式洗衣",21.997107,120.74491,
華泰瑞苑墾丁賓館,"屏東排名第 3 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d4134483-Reviews-Gloria_Manor-Hengchun_Pingtung.html,21.997106552124023,120.74491119384766,"NT$5,713",恆春鎮公園路101號,3.5,屏東,恆春,"NT$4,980 - NT$9,341",5.0,1313,https://media-cdn.tripadvisor.com/media/photo-s/11/51/53/88/gloria-manor.jpg,"海景, 禁菸客房, 套房, 家庭房, 空調設施, 房務, 迷你吧, 平板電視, 私人陽台, 客房服務, 保險箱, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 海灘, 兒童活動 (適合兒童/家庭), 免費接駁或計程車服務, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 成人游泳池, 室外游泳池, 餐廳, 提供早餐, 游泳池酒吧, 游泳池畔酒吧, 巴士接駁服務, 會議設施, 宴會廳, 會議室, Spa, 全身按摩, 按摩, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 燙衣服務",21.956072,120.80873,
承億文旅 墾丁雅客小半島,"屏東排名第 4 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d4551382-Reviews-Hotelday_Kenting-Hengchun_Pingtung.html,21.956071853637695,120.80873107910156,"NT$4,090",恆春鎮墾丁路237、239號,3.5,屏東,恆春,"NT$2,443 - NT$6,928",4.5,188,https://media-cdn.tripadvisor.com/media/photo-s/04/3e/29/8a/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 游泳池, 室外游泳池, 免費早餐, 禁菸飯店, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳",21.945494,120.79695,
海境渡假民宿,"屏東排名第 5 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d1743912-Reviews-Ocean_Paradise_Resort-Hengchun_Pingtung.html,21.945493698120117,120.79695129394531,"NT$5,082",恆春鎮山海里紅柴路2-6號,4.0,屏東,恆春,"NT$5,784 - NT$10,640",5.0,94,https://media-cdn.tripadvisor.com/media/photo-s/0b/b0/7d/f0/ocean-paradise-resort.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 兒童活動 (適合兒童/家庭), 禁菸飯店, 網際網路",21.986757,120.71544,
墾丁牧場旅棧,"屏東排名第 6 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d1215848-Reviews-Farm_Guest_House-Hengchun_Pingtung.html,21.986757278442383,120.71543884277344,"NT$1,432",恆春鎮墾丁路和平巷91號,3.0,屏東,恆春,"NT$1,423 - NT$4,361",5.0,126,https://media-cdn.tripadvisor.com/media/photo-s/09/54/a5/3e/caption.jpg,禁菸客房,"免費網際網路, 禁菸飯店",21.947369,120.79947,
二手童話,"屏東排名第 7 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d3190638-Reviews-Our_Fairyland_B_B-Hengchun_Pingtung.html,21.947368621826172,120.79946899414062,"NT$1,269",恆春鎮墾丁路和平巷91號 Hengchun Town,3.0,屏東,恆春,"NT$1,392 - NT$4,052",4.5,71,https://media-cdn.tripadvisor.com/media/photo-s/09/ff/36/4e/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 免費早餐, 禁菸飯店",21.947178,120.79932,
星月旅店,"屏東排名第 8 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g8840129-d7230500-Reviews-Moon_Star_Villa-Liuqiu_Pingtung.html,21.94717788696289,120.79931640625,"NT$2,139",中山路116號,3.5,屏東,琉球,"NT$2,196 - NT$4,949",5.0,220,https://media-cdn.tripadvisor.com/media/photo-s/15/ee/03/4c/getlstd-property-photo.jpg,"遮光窗簾, 空調設施, 客房服務, 第四台/衛星電視, 加長床, 隔音室, 浴缸/淋浴間, 免費衛浴用品, 吹風機","免費停車, 免費高速上網 (WiFi), 免費網際網路, 室外游泳池, 游泳池畔酒吧, 免費即溶咖啡, 行李存放, 禮賓服務, 無線網路, 網際網路, 點心吧, 公共浴室, 管家服務, 急救箱",22.351368,120.38128,
墾丁卡米克,"屏東排名第 9 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d2247512-Reviews-Kenting_Comic_B_B-Hengchun_Pingtung.html,22.351367950439453,120.38127899169922,"NT$2,477","恆春鎮大光里大光路79-68號 Pingtung County ,Taiwan",3.0,屏東,恆春,"NT$2,815 - NT$4,268",5.0,287,https://media-cdn.tripadvisor.com/media/photo-s/09/3b/43/7f/caption.jpg,"山景, 海景, 禁菸客房, 套房, 遮光窗簾, 空調設施, 用餐區, 微波爐, 地標景觀, 家庭房, 私人陽台, 衣架, 私人浴室, 磁磚/大理石地板, 冰箱","免費停車, 免費高速上網 (WiFi), 浴缸, 提供早餐, 潛水, 浮潛, 包車, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 露台",21.929966,120.741936,
墾丁福華渡假飯店,"屏東排名第 10 的超值住宿地點，共 1,481 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806620-d301568-Reviews-Howard_Beach_Resort_Kenting-Hengchun_Pingtung.html,21.92996597290039,120.74193572998047,"NT$9,252",恆春鎮墾丁路2號,4.0,屏東,恆春,"NT$3,124 - NT$8,258",3.5,456,https://media-cdn.tripadvisor.com/media/photo-s/03/1d/0a/aa/caption.jpg,游泳池,,21.942327,120.80678,
