title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
KUN酒店,台中排名第 1 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d5888587-Reviews-KUN_HOTEL-Xitun_Taichung.html,24.183086395263672,120.6450424194336,"NT$1,662",福星北三街33巷56號,3.5,台中,西屯,"NT$1,509 - NT$3,364",4.5,1749,https://media-cdn.tripadvisor.com/media/photo-s/11/7f/66/7d/getlstd-property-photo.jpg,"禁菸客房, 套房, 家庭房, 保險箱, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費早餐, 提供上網服務的商務中心, 會議室, 禮賓服務, 禁菸飯店, 乾洗服務, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐",
伯達行旅,台中排名第 2 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d10720076-Reviews-Boda_Hotel_Taichung-Xitun_Taichung.html,24.1829833984375,120.63745880126953,"NT$1,698",西屯區上墩路1號,3.5,台中,西屯,"NT$2,012 - NT$3,584",4.5,311,https://media-cdn.tripadvisor.com/media/photo-s/0e/1f/68/c7/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 巴士接駁服務, 會議室, 禮賓服務, 禁菸飯店, 無線網路, 網際網路, 餐廳, 提供早餐",
豐邑逢甲商旅,台中排名第 3 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d7185866-Reviews-La_Vida_Hotel-Xitun_Taichung.html,24.175386428833008,120.6441879272461,"NT$2,497",西屯區西屯路二段275之2號,3.5,台中,西屯,"NT$2,703 - NT$4,747",4.5,1736,https://media-cdn.tripadvisor.com/media/photo-s/07/20/4a/d9/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 冰箱, 平板電視, 保險箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 提供上網服務的商務中心, 會議設施, 禮賓服務, 禁菸飯店, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 會議室, 乾洗服務, 洗衣服務","NT$2,620"
台中逢甲葉綠宿旅館,台中排名第 4 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d7194085-Reviews-Taichung_Fengjia_Green_Hotel-Xitun_Taichung.html,24.176599502563477,120.64314270019531,NT$866,西屯區西屯路二段287號,3.0,台中,西屯,"NT$786 - NT$2,703",4.5,614,https://media-cdn.tripadvisor.com/media/photo-s/06/e7/de/ec/caption.jpg,免費高速上網 (WiFi),,
奇異果快捷旅店成功店,台中排名第 5 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792757-d5924571-Reviews-Kiwi_Express_Hotel_Chenggong_Rd-Central_District_Taichung.html,24.141645431518555,120.68172454833984,NT$703,中區成功路165號,3.0,台中,中區,"NT$849 - NT$2,043",4.0,381,https://media-cdn.tripadvisor.com/media/photo-s/05/6d/e7/e0/caption.jpg,免費停車,,
米樂旅店,台中排名第 6 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d9794767-Reviews-Miller_Inn-Xitun_Taichung.html,24.18484115600586,120.63990020751953,"NT$1,326",西屯區黎明路三段493號,3.5,台中,西屯,"NT$1,477 - NT$3,395",5.0,326,https://media-cdn.tripadvisor.com/media/photo-s/0c/c1/d1/23/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施","免費停車, 免費高速上網 (WiFi), 免費早餐, 免費接駁或計程車服務, 提供上網服務的商務中心, 會議室, 禮賓服務, 禁菸飯店, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 巴士接駁服務, 自助式洗衣",
台中日月千禧酒店,台中排名第 7 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d3435789-Reviews-Millennium_Hotel_Taichung-Xitun_Taichung.html,24.156673431396484,120.64192199707031,"NT$1,309",市政路77號,5.0,台中,西屯,"NT$3,866 - NT$7,419",4.5,1278,https://media-cdn.tripadvisor.com/media/photo-s/0e/54/7a/9e/swimming-pool.jpg,免費高速上網 (WiFi),,"NT$3,351"
拓程商旅,台中排名第 8 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d634527-Reviews-The_Galerie_Hotel-Xitun_Taichung.html,24.17164421081543,120.64404296875,"NT$1,309",西屯區青海路二段242-33號,3.5,台中,西屯,"NT$1,352 - NT$3,081",4.5,481,https://media-cdn.tripadvisor.com/media/photo-s/15/72/07/42/caption.jpg,免費停車,,
星動銀河旅站,台中排名第 9 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792757-d10619585-Reviews-Moving_Star_Hotel-Central_District_Taichung.html,24.141117095947266,120.68338012695312,"NT$1,299",台中市中區自由路二段66號,3.5,台中,中區,"NT$1,635 - NT$4,275",4.5,191,https://media-cdn.tripadvisor.com/media/photo-s/17/5a/9e/7c/getlstd-property-photo.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 餐廳, 提供上網服務的商務中心, 宴會廳, 禁菸飯店, 乾洗服務, 免費網際網路, 無線網路, 網際網路, 提供早餐, 會議室, 洗衣服務, 自助式洗衣",
文華道會館,台中排名第 10 的超值住宿地點，共 878 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808534-d1190604-Reviews-In_One_City_Inn-Xitun_Taichung.html,24.18311882019043,120.6469497680664,"NT$1,338",西屯區文華路138巷31號,3.5,台中,西屯,"NT$1,666 - NT$2,766",4.0,247,https://media-cdn.tripadvisor.com/media/photo-s/03/f5/af/8b/caption.jpg,"禁菸客房, 家庭房, 空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 餐廳, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 乾洗服務, 免費網際網路, 無線網路, 網際網路, 提供早餐, 自助式早餐, 洗衣服務",
