title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
康橋商旅 - 台南赤崁樓館,"台南排名第 1 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d7095973-Reviews-Kindness_Hotel_Tainan_Chihkan_Tower-West_Central_District_Tainan.html,22.994461059570312,120.2044677734375,"NT$1,378",民權路二段97號,3.0,台南,中西區,"NT$1,608 - NT$3,093",4.5,757,https://media-cdn.tripadvisor.com/media/photo-s/0a/61/0c/e0/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 平板電視","免費停車, 免費高速上網 (WiFi), 免費早餐, 提供上網服務的商務中心, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 免費網際網路, 無線網路, 網際網路, 餐廳, 自助式早餐, 自助式洗衣",22.994461,120.20447,
臺邦商旅,"台南排名第 2 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13792460-d621526-Reviews-Taipung_Suites-Anping_Tainan.html,22.988723754882812,120.18437957763672,"NT$1,726",安平區永華二街199號,4.0,台南,安平,"NT$2,103 - NT$3,990",4.5,465,https://media-cdn.tripadvisor.com/media/photo-s/07/95/14/80/taipung-suites.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 免費早餐, 機場接送, 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 巴士接駁服務, 宴會廳, 會議室, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",22.988724,120.18438,
花水木文旅,"台南排名第 3 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13792460-d13347550-Reviews-Flora_Inn-Anping_Tainan.html,23.00093650817871,120.16513061523438,"NT$1,283",安平區效忠街12-6號,3.5,台南,安平,"NT$1,237 - NT$9,681",5.0,108,https://media-cdn.tripadvisor.com/media/photo-s/12/fd/ca/37/caption.jpg,"禁菸客房, 套房, 家庭房, 冰箱","免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 機場接送, 禮賓服務",23.000937,120.16513,
友愛街旅館,"台南排名第 4 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d13108589-Reviews-U_I_J_Hotel_And_Hostel-West_Central_District_Tainan.html,22.990907669067383,120.19986724853516,"NT$1,169",友愛街115巷5號,3.5,台南,中西區,"NT$1,113 - NT$3,495",4.5,102,https://media-cdn.tripadvisor.com/media/photo-s/12/77/44/60/caption.jpg,空調設施,"免費高速上網 (WiFi), 免費網際網路, 網際網路",22.990908,120.19987,
台南晶英酒店,"台南排名第 5 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d6536694-Reviews-Silks_Place_Tainan-West_Central_District_Tainan.html,22.987712860107422,120.19942474365234,"NT$3,810",中西區和意路1號,4.5,台南,中西區,"NT$3,866 - NT$7,918",4.5,952,https://media-cdn.tripadvisor.com/media/photo-s/05/f9/12/db/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 保險箱, 迷你吧, 平板電視, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 機場接送, 提供上網服務的商務中心, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 成人游泳池, 室外游泳池, 餐廳, 游泳池酒吧, 提供早餐, 自助式早餐, 游泳池畔酒吧, 會議設施, 宴會廳, 會議室, 屋頂露台, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",22.987713,120.199425,
康橋商旅 - 臺南民生館,"台南排名第 6 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d2027384-Reviews-Kindness_Hotel_Tainan_Minsheng-West_Central_District_Tainan.html,22.99668312072754,120.19159698486328,"NT$1,250",中西區民生路二段299號,3.5,台南,中西區,"NT$1,485 - NT$3,031",4.5,436,https://media-cdn.tripadvisor.com/media/photo-s/13/0e/42/f3/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 禁菸飯店, 洗衣服務, 自助式洗衣, 無線網路, 公用無線網路, 網際網路, 自助式早餐",22.996683,120.1916,
台南老爺行旅,"台南排名第 7 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806497-d7368524-Reviews-The_Place_Tainan-East_District_Tainan.html,22.989959716796875,120.23335266113281,"NT$2,236",東區中華東路一段368號,4.0,台南,東區,"NT$2,505 - NT$4,670",4.5,698,https://media-cdn.tripadvisor.com/media/photo-s/07/8a/3e/45/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 提供上網服務的商務中心, 會議室, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 乾洗服務, 洗衣服務",22.98996,120.23335,
台糖長榮酒店,"台南排名第 8 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806497-d505157-Reviews-Evergreen_Plaza_Hotel_Tainan-East_District_Tainan.html,22.974313735961914,120.2208023071289,"NT$2,770",中華東路三段336巷1號,4.5,台南,東區,"NT$2,289 - NT$6,650",4.5,303,https://media-cdn.tripadvisor.com/media/photo-s/12/27/81/65/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 餐廳, 提供早餐, 自助式早餐, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",22.974314,120.2208,
台南大億麗緻酒店,"台南排名第 9 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808400-d300796-Reviews-Tayih_Landis_Tainan-West_Central_District_Tainan.html,22.98783302307129,120.19775390625,"NT$3,175",中西區西門路一段660號,4.5,台南,中西區,"NT$3,588 - NT$7,733",4.5,571,https://media-cdn.tripadvisor.com/media/photo-s/0b/c7/55/45/img-20160529-133037-hdr.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 機場接送, 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 室內游泳池, 溫水游泳池, 餐廳, 提供早餐, 自助式早餐, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",22.987833,120.197754,
香格里拉台南遠東國際大飯店,"台南排名第 10 的超值住宿地點，共 1,159 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806497-d1201244-Reviews-Shangri_La_s_Far_Eastern_Plaza_Hotel_Tainan-East_District_Tainan.html,22.996658325195312,120.2143783569336,"NT$3,195",東區大學路西段89號,5.0,台南,東區,"NT$3,465 - NT$6,309",4.5,1584,https://media-cdn.tripadvisor.com/media/photo-s/03/5b/f6/e5/shangri-la-s-far-eastern.jpg,"遮光窗簾, 空調設施, 額外浴室, 迷你吧, 第四台/衛星電視, 浴袍, 書桌, 用餐區, 房務, 有連通客房, 客房服務, 保險箱, 座位區, 沙發, 電話, 衣櫃/壁櫥, 瓶裝水, 衣架, 熨斗, 私人浴室, 喚醒服務/鬧鐘, 冰箱, 平板電視, 加長床, 沙發床, 步入式淋浴間, 浴缸/淋浴間, 免費衛浴用品, 吹風機","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 腳踏車租賃, 有腳踏車, 免費接駁或計程車服務, 代客泊車, 停車庫, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 瑜伽課程, 瑜伽房, 健身/ Spa 更衣室, 桑拿, 游泳池玩具, 成人游泳池, 室外游泳池, 小泳池, 游泳池淺水區, 咖啡館, 餐廳, 提供早餐, 自助式早餐, 客房內早餐, 暢飲時段, 適合兒童的自助餐, 點心吧, 機場接送, 計程車服務, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, 商務中心有影印機/傳真機, Spa, 雙人按摩, 臉部療程, 全身按摩, 手部按摩, 頭部按摩, 按摩, 頸部按摩, 蒸氣室, 24 小時保全, 行李存放, 禮賓服務, 外幣兌換服務, 行政貴賓休息室使用, 禮品商店, 禁菸飯店, 行李員, 急救箱, 醫務室, 雨傘, 24 小時辦理入住, 24 小時服務櫃台, 快速辦理入住/退房, 乾洗服務, 洗衣服務, 擦鞋服務",22.996658,120.21438,"NT$3,195"
