title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
康橋大飯店,"台東排名第 1 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d796222-Reviews-Kindness_Hotel_Taitung-Taitung_City_Taitung.html,22.754459381103516,121.14573669433594,"NT$1,618",台東市中興路209巷16號,3.0,台東,臺東市,"NT$1,918 - NT$3,743",4.5,657,https://media-cdn.tripadvisor.com/media/photo-s/07/3c/5f/b6/caption.jpg,"禁菸客房, 家庭房, 空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費早餐, 有腳踏車, 提供上網服務的商務中心, 會議室, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 自助式早餐, 乾洗服務, 洗衣服務",22.76761,121.14206,
台東桂田喜來登酒店,"台東排名第 2 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d7595856-Reviews-Sheraton_Taitung_Hotel-Taitung_City_Taitung.html,22.767610549926758,121.14205932617188,"NT$3,642",台東市正氣路316號,4.5,台東,臺東市,"NT$3,804 - NT$5,784",4.5,614,https://media-cdn.tripadvisor.com/media/photo-s/17/94/75/ec/guest-room.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 機場接送, 提供上網服務的商務中心, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 巴士接駁服務, 會議設施, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",22.755556,121.14854,
知本金聯世紀酒店,"台東排名第 3 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806907-d6882232-Reviews-Chihpen_Century_Hotel-Taimali_Taitung.html,22.755556106567383,121.1485366821289,"NT$3,133",卑南鄉龍泉路30號,4.5,台東,太麻里,"NT$3,062 - NT$8,042",4.0,443,https://media-cdn.tripadvisor.com/media/photo-s/07/04/42/18/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 免費早餐, 兒童活動 (適合兒童/家庭), 機場接送, 提供上網服務的商務中心, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 巴士接駁服務, 會議設施, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 洗衣服務, 自助式洗衣",22.692392,121.0192,"NT$3,723"
知本老爺酒店,"台東排名第 4 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806907-d307847-Reviews-Hotel_Royal_Chihpen-Taimali_Taitung.html,22.692392349243164,121.01920318603516,"NT$4,340",卑南鄉溫泉村龍泉路113巷23號,4.5,台東,太麻里,"NT$4,268 - NT$10,145",4.0,424,https://media-cdn.tripadvisor.com/media/photo-s/0e/e9/99/0b/main-entrance.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 客房服務, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 兒童俱樂部, 機場接送, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 桑拿, 室外游泳池, 溫水游泳池, 酒吧/酒廊, 餐廳, 自助式早餐, 巴士接駁服務, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",22.691984,121.00706,"NT$3,583"
The Gaya Hotel 渡假酒店,"台東排名第 5 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d12001555-Reviews-The_Gaya_Hotel-Taitung_City_Taitung.html,22.691984176635742,121.0070571899414,"NT$3,565",台東市新生路169號,4.0,台東,臺東市,"NT$3,773 - NT$6,805",4.5,128,https://media-cdn.tripadvisor.com/media/photo-s/0f/83/09/fa/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 機場接送, 提供上網服務的商務中心, 會議室, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 屋頂游泳池, 酒吧/酒廊, 餐廳, 巴士接駁服務, 禮賓服務, 禁菸飯店, 洗衣服務",22.75446,121.14574,"NT$4,514"
台東南豐鐵花棧,"台東排名第 6 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d10619573-Reviews-Inn_by_the_Village-Taitung_City_Taitung.html,22.754459381103516,121.14573669433594,"NT$2,260",台東市中華路一段585號,3.5,台東,臺東市,"NT$2,258 - NT$4,114",4.5,131,https://media-cdn.tripadvisor.com/media/photo-s/0c/19/20/13/getlstd-property-photo.jpg,"禁菸客房, 套房, 空調設施","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 機場接送, 提供上網服務的商務中心, 禁菸飯店, 洗衣服務, 免費網際網路, 無線網路, 網際網路, 酒吧/酒廊, 餐廳",22.750418,121.14943,
Mini館(貓咪民宿)-米多麗民宿分館,"台東排名第 7 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d6396761-Reviews-Midori_Mini_Hostel_cats_B_B-Taitung_City_Taitung.html,22.750417709350586,121.14942932128906,"NT$1,039",台東市新站一街26號,2.0,台東,臺東市,"NT$1,175 - NT$2,382",5.0,180,https://media-cdn.tripadvisor.com/media/photo-s/05/b3/ce/46/getlstd-property-photo.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 兒童活動 (適合兒童/家庭), 禁菸飯店, 公用無線網路, 網際網路",22.79031,121.12581,
布客森林民宿,"台東排名第 8 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d8557499-Reviews-Books_Woods-Taitung_City_Taitung.html,22.79030990600586,121.12580871582031,"NT$1,617",台東市中興路二段43號,3.0,台東,臺東市,"NT$1,670 - NT$3,062",5.0,178,https://media-cdn.tripadvisor.com/media/photo-s/11/39/7c/fc/caption.jpg,空調設施,"免費停車, 免費高速上網 (WiFi), 免費網際網路, 免費早餐, 兒童活動 (適合兒童/家庭), 機場接送, 禁菸飯店",22.766003,121.13131,
中華典藏商旅,"台東排名第 9 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d7306891-Reviews-Taitung_Z_Hotel-Taitung_City_Taitung.html,22.766002655029297,121.13130950927734,"NT$1,571",台東市中華路一段420號,3.0,台東,臺東市,"NT$1,794 - NT$3,124",5.0,102,https://media-cdn.tripadvisor.com/media/photo-s/14/b8/6d/fe/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 迷你吧, 冰箱","免費停車, 免費高速上網 (WiFi), 免費早餐, 機場接送, 提供上網服務的商務中心, 會議設施, 禁菸飯店, 洗衣服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 會議室, 自助式洗衣",22.753477,121.152214,
香香森林民宿,"台東排名第 10 的超值住宿地點，共 1,441 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806910-d8687191-Reviews-Shiangshiang_Forest_Hotel-Taitung_City_Taitung.html,22.753477096557617,121.15221405029297,"NT$1,472",開封街632巷56號,3.5,台東,臺東市,"NT$1,763 - NT$3,310",5.0,203,https://media-cdn.tripadvisor.com/media/photo-s/0b/92/06/47/caption.jpg,免費停車,,22.761377,121.13845,"NT$1,563"
