title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
煙波大飯店蘇澳四季雙泉館,"宜蘭排名第 1 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806903-d10147208-Reviews-Lakeshore_Hotel_Suao-Su_ao_Yilan.html,24.67275619506836,121.80974578857422,"NT$5,579",蘇澳鎮中正路38號,4.0,宜蘭,蘇澳,"NT$3,804 - NT$10,499",4.5,1382,https://media-cdn.tripadvisor.com/media/photo-s/0b/09/db/53/caption.jpg,"海景, 禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 海灘, 提供上網服務的商務中心, 會議室, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 屋頂游泳池, 餐廳, 提供早餐, 自助式早餐, 屋頂露台, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
捷絲旅礁溪溫泉館,"宜蘭排名第 2 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d7230669-Reviews-Just_Sleep_Jiao_Xi_Hotel-Jiaoxi_Yilan.html,24.59807014465332,121.85298156738281,"NT$2,761",礁溪鄉德陽路24巷8號,3.5,宜蘭,礁溪,"NT$3,143 - NT$6,318",4.5,1086,https://media-cdn.tripadvisor.com/media/photo-s/0b/73/cb/e1/caption.jpg,"禁菸客房, 家庭房, 空調設施, 保險箱, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 浴缸, 室外游泳池, 免費早餐, 兒童活動 (適合兒童/家庭), 會議設施, 會議室, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 溫水游泳池, 餐廳, 提供早餐, 自助式早餐, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
玖屋文旅,"宜蘭排名第 3 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806715-d300643-Reviews-Jiuwu_Hotel-Luodong_Yilan.html,24.828889846801758,121.7726821899414,"NT$1,963",公正路511號,3.0,宜蘭,羅東,"NT$2,263 - NT$5,092",4.5,297,https://media-cdn.tripadvisor.com/media/photo-s/07/a0/64/9e/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 餐廳, 提供上網服務的商務中心, 會議設施, 禁菸飯店, 乾洗服務, 洗衣服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐, 會議室","NT$2,961"
兆品酒店 礁溪,"宜蘭排名第 4 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d14548234-Reviews-Maison_de_Chine_Jiaoxi-Jiaoxi_Yilan.html,24.679664611816406,121.75772094726562,"NT$4,486",仁愛路48巷18弄1號,4.0,宜蘭,礁溪,"NT$3,992 - NT$9,242",4.5,424,https://media-cdn.tripadvisor.com/media/photo-s/13/ac/de/52/caption.jpg,免費高速上網 (WiFi),,"NT$2,251"
長榮鳳凰酒店 - 礁溪,"宜蘭排名第 5 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d1811672-Reviews-Evergreen_Resort_Hotel_Jiaosi-Jiaoxi_Yilan.html,24.828336715698242,121.76959228515625,"NT$5,403",礁溪鄉健康路77號,4.5,宜蘭,礁溪,"NT$5,438 - NT$15,843",4.5,575,https://media-cdn.tripadvisor.com/media/photo-s/0e/0e/71/45/european-suite--v14530235.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 餐廳, 兒童活動 (適合兒童/家庭), 兒童俱樂部, 巴士接駁服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 桑拿, 室內游泳池, 室外游泳池, 溫水游泳池, 游泳池酒吧, 自助式早餐, 游泳池畔酒吧, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 屋頂露台, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務","NT$4,467"
礁溪寒沐酒店,"宜蘭排名第 6 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d12851591-Reviews-MU_Jiaoxi_Hotel-Jiaoxi_Yilan.html,24.83094596862793,121.77532196044922,"NT$5,934",礁溪鄉健康路1號,4.5,宜蘭,礁溪,"NT$6,570 - NT$12,951",4.0,204,https://media-cdn.tripadvisor.com/media/photo-s/15/ed/f9/3a/2019-happy-new-year.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 迷你吧, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 兒童活動 (適合兒童/家庭), 兒童俱樂部, 巴士接駁服務, 停車, 免費網際網路, 無線網路, 網際網路, 酒吧/酒廊, 餐廳, 提供早餐, 會議設施, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
晶泉丰旅,"宜蘭排名第 7 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d9734252-Reviews-Wellspring_By_Silks-Jiaoxi_Yilan.html,24.829957962036133,121.7725830078125,"NT$3,779",礁溪鄉溫泉路67號,4.0,宜蘭,礁溪,"NT$4,967 - NT$10,216",4.5,937,https://media-cdn.tripadvisor.com/media/photo-s/0b/74/56/fd/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 游泳池, 浴缸, 免費早餐, 兒童活動 (適合兒童/家庭), 巴士接駁服務, 會議室, 免費網際網路, 無線網路, 網際網路, 無邊際游泳池, 屋頂游泳池, 溫水游泳池, 游泳池畔酒吧, 餐廳, 自助式早餐, 屋頂露台, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務","NT$5,974"
山形閣,"宜蘭排名第 8 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d13990096-Reviews-Yamagata_Kaku_Hotel_Spa-Jiaoxi_Yilan.html,24.828943252563477,121.77312469482422,"NT$5,455",中山路二段187號,4.0,宜蘭,礁溪,"NT$4,527 - NT$12,731",5.0,137,https://media-cdn.tripadvisor.com/media/photo-s/13/18/89/b8/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 迷你吧, 冰箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 酒吧/酒廊, 兒童活動 (適合兒童/家庭), 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 桑拿, 餐廳, 提供早餐, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務","NT$4,524"
礁溪老爺酒店,"宜蘭排名第 9 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d597006-Reviews-Hotel_Royal_Chiao_Hsi-Jiaoxi_Yilan.html,24.828245162963867,121.7750473022461,"NT$9,792",礁溪鄉大忠村五峰路69號,4.5,宜蘭,礁溪,"NT$7,953 - NT$15,183",4.5,647,https://media-cdn.tripadvisor.com/media/photo-s/12/58/d0/6a/exterior.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 客房服務, 迷你吧, 平板電視, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 高爾夫球場, 兒童活動 (適合兒童/家庭), 兒童俱樂部, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 桑拿, 成人游泳池, 室外游泳池, 溫水游泳池, 酒吧/酒廊, 餐廳, 自助式早餐, 游泳池酒吧, 游泳池畔酒吧, 巴士接駁服務, 提供上網服務的商務中心, 會議設施, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務",
心曠神怡溫泉渡假飯店,"宜蘭排名第 10 的超值住宿地點，共 1,786 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806648-d6439975-Reviews-Living_Water_Hotel-Jiaoxi_Yilan.html,24.827861785888672,121.75559997558594,"NT$3,475",礁溪鄉仁愛路29號,3.5,宜蘭,礁溪,"NT$2,420 - NT$5,941",4.5,239,https://media-cdn.tripadvisor.com/media/photo-s/09/09/67/e5/photo0jpg.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 免費網際網路, 浴缸, 餐廳, 巴士接駁服務, 禁菸飯店, 洗衣服務, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐","NT$10,009"
