title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
趣淘漫旅,新北排名第 1 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792475-d12636454-Reviews-Hotel_Cham_Cham-Banqiao_New_Taipei.html,25.01091957092285,121.46314239501953,"NT$1,905",中山路一段139號,3.5,新北,板橋,"NT$2,169 - NT$4,212",4.5,141,https://media-cdn.tripadvisor.com/media/photo-s/12/50/51/c6/caption.jpg,"禁菸客房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費網際網路, 提供早餐, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 無線網路, 公用無線網路, 網際網路",
板橋凱撒大飯店,新北排名第 2 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792475-d12416174-Reviews-Caesar_Park_Hotel_Banqiao-Banqiao_New_Taipei.html,25.01162338256836,121.46286010742188,"NT$2,597",縣民大道二段8號,4.5,新北,板橋,"NT$3,395 - NT$7,324",4.0,184,https://media-cdn.tripadvisor.com/media/photo-s/13/1c/f1/e2/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 客房服務, 迷你吧, 冰箱","免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 機場接送, 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 屋頂游泳池, 餐廳, 提供早餐, 宴會廳, 會議室, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務","NT$2,771"
翰品酒店新莊,新北排名第 3 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808531-d1936002-Reviews-Xinjhuang_Chateau_de_Chine_Hotel-Xinzhuang_New_Taipei.html,25.037675857543945,121.45785522460938,"NT$2,123",新莊區中正路82號,4.0,新北,新莊,"NT$2,232 - NT$3,709",4.5,1276,https://media-cdn.tripadvisor.com/media/photo-s/09/80/34/3e/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 冰箱, 平板電視, 保險箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 餐廳, 免費接駁或計程車服務, 提供上網服務的商務中心, 會議設施, Spa, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐, 機場接送, 宴會廳, 會議室, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 自助式洗衣",
陽明山天籟渡假酒店,新北排名第 4 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806657-d581277-Reviews-Tien_Lai_Resort_Spa-Jinshan_New_Taipei.html,25.20322608947754,121.59578704833984,"NT$4,574",金山鄉重和村名流路1-7號,4.0,新北,金山,"NT$4,747 - NT$8,267",4.0,332,https://media-cdn.tripadvisor.com/media/photo-s/03/9c/dc/4a/caption.jpg,游泳池,,
成旅晶贊飯店-台北蘆洲,新北排名第 5 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806717-d2560111-Reviews-Park_City_Hotel_Luzhou_Taipei-Luzhou_New_Taipei.html,25.0804386138916,121.48042297363281,NT$649,蘆洲區中山一路8號,4.0,新北,蘆洲,"NT$1,918 - NT$3,332",4.5,540,https://media-cdn.tripadvisor.com/media/photo-s/07/25/34/0a/caption.jpg,有健身房的健身中心,,
原宿時空膠囊旅館,新北排名第 6 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792475-d11725685-Reviews-UZ_Hostel-Banqiao_New_Taipei.html,25.008710861206055,121.46145629882812,"NT$4,400",板橋區中山路一段50巷22號B1,2.0,新北,板橋,"NT$597 - NT$1,226",4.5,239,https://media-cdn.tripadvisor.com/media/photo-s/0f/6a/7d/95/caption.jpg,"禁菸客房, 家庭房, 空調設施, 微波爐, 冰箱","免費高速上網 (WiFi), 免費網際網路, 免費早餐, 機場接送, 巴士接駁服務, 提供上網服務的商務中心, 禁菸飯店, 自助式洗衣, 無線網路, 公用無線網路, 網際網路",
台北新板希爾頓酒店,新北排名第 7 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792475-d14010926-Reviews-Hilton_Taipei_Sinban-Banqiao_New_Taipei.html,25.011459350585938,121.4623794555664,"NT$4,400",民權路88號,4.5,新北,板橋,"NT$4,684 - NT$6,884",4.5,210,https://media-cdn.tripadvisor.com/media/photo-s/16/d4/1c/2e/caption.jpg,游泳池,,"NT$4,400"
清翼居旅店 - 海洋館,新北排名第 8 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792475-d7133798-Reviews-Morwing_Hotel_Ocean-Banqiao_New_Taipei.html,25.00508689880371,121.46185302734375,"NT$2,306",板橋區成都街65號,2.5,新北,板橋,"NT$1,226 - NT$1,823",4.5,112,https://media-cdn.tripadvisor.com/media/photo-s/09/3f/bc/74/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 微波爐, 冰箱","免費高速上網 (WiFi), 免費網際網路, 免費早餐, 餐廳, 機場接送, 提供上網服務的商務中心, 禁菸飯店, 自助式洗衣, 無線網路, 公用無線網路, 網際網路, 提供早餐, 巴士接駁服務",
白金花園酒店,新北排名第 9 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13808475-d8400795-Reviews-Platinum_Hotel-Xindian_New_Taipei.html,24.974849700927734,121.5154800415039,"NT$2,306",新店區安興路77號,4.0,新北,新店,"NT$2,641 - NT$3,332",4.5,343,https://media-cdn.tripadvisor.com/media/photo-s/12/e9/58/a1/caption.jpg,免費停車,,
御華山莊民宿 ,新北排名第 10 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806837-d2245049-Reviews-Yu_Hua_Shan_Zhuang-Ruifang_New_Taipei.html,25.11000633239746,121.84232330322266,"NT$2,078",頌德里豎崎路八號巷23號,,新北,瑞芳,"NT$2,389 - NT$3,615",5.0,104,https://media-cdn.tripadvisor.com/media/photo-s/13/aa/49/3f/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施","免費停車, 免費高速上網 (WiFi), 免費網際網路, 無線網路, 公用無線網路, 網際網路, 免費早餐",
台北旅人國際青年旅館,新北排名第 11 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806921-d12434697-Reviews-Taipei_Travelers_International_Hostel-Tamsui_New_Taipei.html,25.171566009521484,121.43891143798828,NT$848,淡水區三民街22號,2.0,新北,淡水,"NT$723 - NT$2,138",5.0,67,https://media-cdn.tripadvisor.com/media/photo-s/13/ad/5c/89/outside-of-building.jpg,免費高速上網 (WiFi),,
單人房住宿空間,新北排名第 12 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13792475-d7646236-Reviews-Single_Inn_Taipei-Banqiao_New_Taipei.html,25.01053237915039,121.45905303955078,"NT$1,551",板橋區明德街1巷12號3樓至6樓,2.5,新北,板橋,"NT$629 - NT$3,018",4.0,464,https://media-cdn.tripadvisor.com/media/photo-s/08/2e/72/b6/caption.jpg,免費高速上網 (WiFi),,
台北集賢商旅,新北排名第 13 的超值住宿地點，共 602 家,https://www.tripadvisor.com.tw/Hotel_Review-g13806717-d2581249-Reviews-Hotel_G7_Taipei-Luzhou_New_Taipei.html,25.08270263671875,121.4803695678711,"NT$2,681",蘆洲區集賢路372號,3.5,新北,蘆洲,"NT$1,697 - NT$4,244",4.5,202,https://media-cdn.tripadvisor.com/media/photo-s/0d/07/00/ae/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱","免費停車, 免費高速上網 (WiFi), 免費早餐, 機場接送, 會議室, 禮賓服務, 禁菸飯店, 洗衣服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 提供早餐, 自助式早餐, 自助式洗衣",
