title,paiming,uri,lat,lng,recommend_price,hotel_address,hotel_star,hotel_city,hotel_section,price_range,avg_rating,comment_count,offical_img_uri,facility,room,gmap_lat,gmap_lng,agoda_price
台北凱達大飯店,"台北排名第 1 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d12439218-Reviews-Caesar_Metro_Taipei-Wanhua_Taipei.html,25.093050003051758,121.5291976928711,"NT$2,816",艋舺大道167號,4.0,台北,萬華,"NT$2,691 - NT$5,908",4.0,351,https://media-cdn.tripadvisor.com/media/photo-s/11/a3/57/0d/caption.jpg,"免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 機場接送, 提供上網服務的商務中心, 宴會廳, 禮賓服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 免費即溶咖啡, 會議室, 禁菸飯店, 乾洗服務, 洗衣服務","禁菸客房, 套房, 家庭房, 遮光窗簾, 空調設施, 客房服務, 冰箱",25.033276,121.49952,
新驛旅店 - 復興北路店,"台北排名第 2 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8263705-Reviews-Cityinn_Hotel_Plus_Fuxing_N_Rd_Branch-Zhongshan_District_Taipei.html,25.033275604248047,121.49951934814453,"NT$1,984",中山區復興北路338號,3.5,台北,中山區,"NT$2,258 - NT$4,547",5.0,934,https://media-cdn.tripadvisor.com/media/photo-s/0f/5a/67/42/caption.jpg,"免費停車, 免費高速上網 (WiFi), 免費即溶咖啡, 機場接送, 提供上網服務的商務中心, 禁菸飯店, 乾洗服務, 洗衣服務, 停車, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 自助式洗衣","禁菸客房, 套房, 家庭房, 遮光窗簾, 空調設施, 保險箱, 冰箱, 平板電視",25.059544,121.544,
儷夏商旅 - 西門捷運館,"台北排名第 3 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d3810028-Reviews-Muzik_Hotel_Ximen_Station_Branch-Wanhua_Taipei.html,25.05954360961914,121.54399871826172,"NT$1,422",萬華區中華路1段90號6樓 Ximending,3.0,台北,萬華,"NT$1,299 - NT$3,990",4.5,837,https://media-cdn.tripadvisor.com/media/photo-s/15/85/b3/51/caption.jpg,"免費高速上網 (WiFi), 免費網際網路, 提供早餐, 機場接送, 禮賓服務, 24 小時服務櫃台, 洗衣服務, 自助式洗衣, 無線網路, 公用無線網路, 網際網路, 計程車服務","禁菸客房, 保險箱, 迷你吧, 冰箱, 平板電視",25.04468,121.50857,
圓山大飯店,"台北排名第 4 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306446-Reviews-Grand_Hotel_Taipei-Zhongshan_District_Taipei.html,25.044679641723633,121.5085678100586,"NT$2,743",中山北路四段1號,4.5,台北,中山區,"NT$3,217 - NT$6,372",4.0,1257,https://media-cdn.tripadvisor.com/media/photo-s/16/9f/a0/cc/pool.jpg,"免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 酒吧/酒廊, 機場接送, 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 室外游泳池, 餐廳, 自助式早餐, 巴士接駁服務, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 管家服務, 乾洗服務, 洗衣服務","禁菸客房, 套房, 家庭房, 空調設施, 私人陽台, 客房服務, 迷你吧, 平板電視, VIP 客房設施",25.07846,121.52624,
新驛旅店- 台北車站一館,"台北排名第 5 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1144583-Reviews-CityInn_Hotel_Taipei_Station_Branch_I-Zhongzheng_District_Taipei.html,25.078460693359375,121.52623748779297,"NT$1,656",中正區懷寧街7號,3.0,台北,中正區,"NT$1,856 - NT$3,371",4.5,1138,https://media-cdn.tripadvisor.com/media/photo-s/15/8d/2f/bf/caption.jpg,"免費高速上網 (WiFi), 免費即溶咖啡, 計程車服務, 行李存放, 禁菸飯店, 24 小時服務櫃台, 洗衣服務, 自助式洗衣, 免費網際網路, 無線網路, 公用無線網路, 網際網路","禁菸客房, 空調設施, 平板電視",25.046206,121.51424,"NT$3,810"
新驛旅店 - 台北車站三館,"台北排名第 6 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806451-d1950018-Reviews-CityInn_Hotel_Taipei_Station_Branch_III-Datong_Taipei.html,25.046205520629883,121.51423645019531,"NT$1,258",長安西路77號,3.5,台北,大同,"NT$1,639 - NT$4,516",4.5,1498,https://media-cdn.tripadvisor.com/media/photo-s/0d/b8/db/52/cityinn-hotel-taipei.jpg,"免費高速上網 (WiFi), 免費網際網路, 免費即溶咖啡, 機場接送, 行李存放, 禮賓服務, 乾洗服務, 洗衣服務, 無線網路, 網際網路, 計程車服務, 禁菸飯店, 自助式洗衣","禁菸客房, 家庭房, 空調設施, 房務, 保險箱, 冰箱, 平板電視",25.051008,121.51668,"NT$1,656"
台北花園大酒店,"台北排名第 7 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1224203-Reviews-Taipei_Garden_Hotel-Zhongzheng_District_Taipei.html,25.137746810913086,121.51493835449219,"NT$2,744",中正區中華路二段1號,4.5,台北,中正區,"NT$2,876 - NT$5,475",4.5,2773,https://media-cdn.tripadvisor.com/media/photo-s/09/32/1f/6c/caption.jpg,"免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 酒吧/酒廊, 兒童可享免費住宿, 機場接送, 提供上網服務的商務中心, 停車, 免費網際網路, 無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 免費即溶咖啡, 計程車服務, 會議設施, 宴會廳, 會議室, 傳真/影印, Spa, 按摩, 屋頂露台, 行李存放, 禮賓服務, 禁菸飯店, 24 小時服務櫃台, 乾洗服務, 洗衣服務, 燙衣服務","禁菸客房, 套房, 家庭房, 遮光窗簾, 空調設施, 房務, 迷你吧, 平板電視, 客房服務, 保險箱, 冰箱",25.036423,121.50684,"NT$9,715"
悠逸商旅,"台北排名第 8 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d10541923-Reviews-UiNN_Business_Hotel-Shilin_Taipei.html,25.051008224487305,121.51667785644531,"NT$1,784",士林區承德路四段318號,3.5,台北,士林,"NT$1,980 - NT$4,052",4.5,302,https://media-cdn.tripadvisor.com/media/photo-s/0c/a7/8e/c2/uinn-business-standard.jpg,"免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 免費早餐, 機場接送, 提供上網服務的商務中心, 禁菸飯店, 乾洗服務, 免費網際網路, 無線網路, 網際網路, 餐廳, 自助式早餐, 洗衣服務","禁菸客房, 空調設施, 客房服務",25.089682,121.51819,"NT$1,258"
薆悅酒店,"台北排名第 9 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d2527833-Reviews-Inhouse_Hotel_Heritage-Wanhua_Taipei.html,25.036422729492188,121.50684356689453,"NT$2,086",萬華區西寧南路107號,3.5,台北,萬華,"NT$2,227 - NT$4,547",4.0,491,https://media-cdn.tripadvisor.com/media/photo-s/0e/29/2f/57/inhouse-hotel-s-lobby.jpg,"免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 餐廳, 禮賓服務, 禁菸飯店, 洗衣服務, 公用無線網路, 網際網路, 提供早餐, 自助式早餐","禁菸客房, 套房, 空調設施, 冰箱, 平板電視",25.045055,121.50668,
台北美福大飯店,"台北排名第 10 的超值住宿地點，共 1,200 家",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d10161540-Reviews-Grand_Mayfull_Hotel_Taipei-Zhongshan_District_Taipei.html,25.08968162536621,121.5181884765625,"NT$6,160",中山區樂群二路55號,5.0,台北,中山區,"NT$5,970 - NT$11,784",4.5,288,https://media-cdn.tripadvisor.com/media/photo-s/11/81/79/39/lobby.jpg,"免費停車, 免費高速上網 (WiFi), 游泳池, 有健身房的健身中心, 免費早餐, 機場接送, 提供上網服務的商務中心, 會議設施, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 浴缸, 桑拿, 酒吧/酒廊, 餐廳, 提供早餐, 自助式早餐, 游泳池酒吧, 游泳池畔酒吧, 巴士接駁服務, 宴會廳, 會議室, Spa, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務","禁菸客房, 套房, 家庭房, 空調設施, 客房服務, VIP 客房設施, 迷你吧, 冰箱",25.080359,121.5537,
