title,paiming,recommend_price,uri,hotel_address,avg_rating,comment_count,offical_img_uri,facility,room,agoda_price
台北凱達大飯店,"台北排名第 1 的超值住宿地點，共 1,201 家","NT$3,665",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d12439218-Reviews-Caesar_Metro_Taipei-Wanhua_Taipei.html,艋舺大道167號,4.0,332,https://media-cdn.tripadvisor.com/media/photo-s/11/a3/57/0d/caption.jpg,,,"NT$3,095"
新驛旅店 - 復興北路店,"台北排名第 2 的超值住宿地點，共 1,201 家","NT$1,977",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d8263705-Reviews-Cityinn_Hotel_Plus_Fuxing_N_Rd_Branch-Zhongshan_District_Taipei.html,中山區復興北路338號,5.0,908,https://media-cdn.tripadvisor.com/media/photo-s/0f/5a/67/42/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 保險箱, 冰箱, 平板電視","免費停車, 停車, 免費高速上網 (WiFi), 機場接送, 提供上網服務的商務中心, 禁菸飯店, 乾洗服務, 洗衣服務, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 自助式洗衣","NT$2,857"
路境行旅,"台北排名第 3 的超值住宿地點，共 1,201 家","NT$1,958",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d12404865-Reviews-Finders_Hotel-Zhongzheng_District_Taipei.html,中正區重慶南路一段86號7-11樓,4.5,174,https://media-cdn.tripadvisor.com/media/photo-s/0f/65/86/97/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 冰箱","免費高速上網 (WiFi), 免費網際網路, 兒童活動 (適合兒童/家庭), 機場接送, 禮賓服務, 禁菸飯店, 乾洗服務, 洗衣服務, 無線網路, 公用無線網路, 網際網路","NT$1,958"
圓山大飯店,"台北排名第 4 的超值住宿地點，共 1,201 家","NT$2,743",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d306446-Reviews-Grand_Hotel_Taipei-Zhongshan_District_Taipei.html,中山北路四段1號,4.0,1242,https://media-cdn.tripadvisor.com/media/photo-s/16/9f/a0/cc/pool.jpg,,,
儷夏商旅 - 西門町西寧館,"台北排名第 5 的超值住宿地點，共 1,201 家","NT$1,538",https://www.tripadvisor.com.tw/Hotel_Review-g13806951-d5890147-Reviews-Muzik_Hotel_Ximending_Xining_Branch-Wanhua_Taipei.html,萬華區西寧南路30號3樓,4.5,461,https://media-cdn.tripadvisor.com/media/photo-s/16/1c/e7/95/caption.jpg,,,
丰居旅店雙連館,"台北排名第 6 的超值住宿地點，共 1,201 家","NT$1,455",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4463155-Reviews-Via_Hotel_Loft-Zhongshan_District_Taipei.html,民生東路一段42號2樓,4.5,755,https://media-cdn.tripadvisor.com/media/photo-s/0a/6d/45/07/voyage-room--v10498791.jpg,,,"NT$1,455"
台北美侖大飯店,"台北排名第 7 的超值住宿地點，共 1,201 家","NT$2,985",https://www.tripadvisor.com.tw/Hotel_Review-g13811269-d1448672-Reviews-Park_Taipei_Hotel-Da_an_Taipei.html,復興南路一段317號,4.5,788,https://media-cdn.tripadvisor.com/media/photo-s/14/cd/d3/78/entrance.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 迷你吧, 冰箱, 平板電視","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 酒吧/酒廊, 提供上網服務的商務中心, 會議設施, 禮賓服務, 禁菸飯店, 免費網際網路, 無線網路, 公用無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 乾洗服務, 洗衣服務",
悠逸商旅,"台北排名第 8 的超值住宿地點，共 1,201 家","NT$1,699",https://www.tripadvisor.com.tw/Hotel_Review-g13806879-d10541923-Reviews-UiNN_Business_Hotel-Shilin_Taipei.html,士林區承德路四段318號,4.5,299,https://media-cdn.tripadvisor.com/media/photo-s/0c/a7/8e/c2/uinn-business-standard.jpg,,,
老爺會館台北林森,"台北排名第 9 的超值住宿地點，共 1,201 家","NT$2,256",https://www.tripadvisor.com.tw/Hotel_Review-g13808671-d4439685-Reviews-Royal_Inn_Taipei_Linsen-Zhongshan_District_Taipei.html,林森北路83號4樓 Near Huashan 1914 Creative Park,4.5,249,https://media-cdn.tripadvisor.com/media/photo-s/11/5a/58/91/business-room.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 冰箱, 平板電視","免費高速上網 (WiFi), 免費網際網路, 無線網路, 免費早餐, 自助式早餐, 禁菸飯店, 洗衣服務, 自助式洗衣, 公用無線網路, 網際網路","NT$2,299"
台北花園大酒店,"台北排名第 10 的超值住宿地點，共 1,201 家","NT$3,382",https://www.tripadvisor.com.tw/Hotel_Review-g13808853-d1224203-Reviews-Taipei_Garden_Hotel-Zhongzheng_District_Taipei.html,中正區中華路二段1號,4.5,2757,https://media-cdn.tripadvisor.com/media/photo-s/09/32/1f/6c/caption.jpg,"禁菸客房, 套房, 家庭房, 空調設施, 房務, 客房服務, 迷你吧, 平板電視, 保險箱, 冰箱","免費停車, 免費高速上網 (WiFi), 有健身房的健身中心, 浴缸, 酒吧/酒廊, 兒童可享免費住宿, 機場接送, 提供上網服務的商務中心, 停車, 免費網際網路, 無線網路, 網際網路, 餐廳, 提供早餐, 自助式早餐, 會議設施, 宴會廳, 會議室, Spa, 屋頂露台, 禮賓服務, 禁菸飯店, 24 小時服務櫃台, 乾洗服務, 洗衣服務","NT$3,382"
