hotel_name,comment_title,comment_date,date_of_stay,userName,user_profile,rating,recommend_count,country,userId
馥麗精品旅館,交通方便的旅店,2019年1月,住宿日期： 2018年9月地點清潔與衛生服務,ccj,https://www.tripadvisor.com.tw/Profile/Ambassador368744,4.0,40,,
馥麗精品旅館,設備OK地點方便適合商務客,2018年9月,住宿日期： 2018年9月地點服務睡眠品質,Ryan C,https://www.tripadvisor.com.tw/Profile/RyanChengTW,4.0,7,,
馥麗精品旅館,唯一優點就是離捷運站近,2018年5月,住宿日期： 2017年6月,TRAVELISSOGOOD,https://www.tripadvisor.com.tw/Profile/TRAVELISSOGOOD,2.0,23,台灣,
馥麗精品旅館,就是很一般,2017年6月,住宿日期： 2017年6月地點服務睡眠品質,HkCurrywurst,https://www.tripadvisor.com.tw/Profile/HkCurrywurst,3.0,13,HK,
馥麗精品旅館,離捷運站近交通方便，但較吵雜,2016年10月,住宿日期： 2016年4月,annkB4971YC,https://www.tripadvisor.com.tw/Profile/annkB4971YC,3.0,3,,
馥麗精品旅館,變相加價!強詞奪理!,2016年8月,住宿日期： 2016年8月,明 鄭,https://www.tripadvisor.com.tw/Profile/Climber666622,1.0,2,,
馥麗精品旅館,平均值,2016年2月,住宿日期： 2016年2月,kose c,https://www.tripadvisor.com.tw/Profile/kosec,3.0,16,,
馥麗精品旅館,板橋商務旅館的首選,2013年8月,住宿日期： 2013年1月,jam60535,https://www.tripadvisor.com.tw/Profile/jam60535,4.0,55,"Taoyüan, T'ai-wan, Taiwan",
馥麗精品旅館,位於台北商圈的酒店,2013年3月,,northknight3,https://www.tripadvisor.com.tw/Profile/northknight3,4.0,90,new york,
馥麗精品旅館,不錯的酒店，熱心的櫃台人員,2012年12月,,ahsiew,https://www.tripadvisor.com.tw/Profile/ahsiew,4.0,1,馬來西亞吉隆坡,
台北馥華南港館 ,CP值高,2019年8月,住宿日期： 2019年8月房間建議： 如果可以提醒房客冰箱有獨立開關就更好了。查看更多房間建議,hsiaoshengwen,https://www.tripadvisor.com.tw/Profile/hsiaoshengwen,5.0,,,
台北馥華南港館 ,有及格的商務旅館,2019年8月,住宿日期： 2019年8月旅程類型： 好友出遊,易 吳,https://www.tripadvisor.com.tw/Profile/Meander545444,3.0,,台灣新竹,
台北馥華南港館 ,早餐好吃,2019年8月,住宿日期： 2019年8月,blueeyes10192019,https://www.tripadvisor.com.tw/Profile/blueeyes10192019,4.0,,,
台北馥華南港館 ,普通,2019年7月,住宿日期： 2019年7月房間建議： 可能不是獨立筒的彈簧床 很容易因為同床的人ㄧ點動作就晃動不好睡 枕頭也太高查看更多房間建議,eosin7chang,https://www.tripadvisor.com.tw/Profile/eosin7chang,3.0,,台灣台中,
台北馥華南港館 ,馥華南港館 很乾淨 地點很方便,2019年7月,住宿日期： 2019年7月房間建議： 整潔度佳，惟空間較小，亮度也偏暗。查看更多房間建議,陳楚涵,https://www.tripadvisor.com.tw/Profile/%E9%99%B3%E6%A5%9A%E6%B6%B5,4.0,,,
台北馥華南港館 ,評價,2019年7月,,jessicachen2019,https://www.tripadvisor.com.tw/Profile/jessicachen2019,5.0,,廣東省惠州市,
台北馥華南港館 ,超棒的服務品質,2019年7月,住宿日期： 2019年7月,s13826990,https://www.tripadvisor.com.tw/Profile/s13826990,5.0,,,
台北馥華南港館 ,住宿心得,2019年6月,住宿日期： 2019年6月,Navigate62005122990,https://www.tripadvisor.com.tw/Profile/Navigate62005122990,4.0,,,
台北馥華南港館 ,親切的服務態度與笑容是最溫暖的見面禮,2019年6月,住宿日期： 2019年6月,Ann C,https://www.tripadvisor.com.tw/Profile/AnnC3369,5.0,,,
台北馥華南港館 ,房間隔音不好、但早餐豐富,2019年6月,住宿日期： 2019年6月,Guide04583524969,https://www.tripadvisor.com.tw/Profile/Guide04583524969,3.0,,,
台北馥華南港館 ,優質值得推薦,2019年6月,住宿日期： 2019年6月,Daniel L,https://www.tripadvisor.com.tw/Profile/daniellW4803PN,5.0,1,,
台北馥華南港館 ,不錯的體驗,2019年6月,住宿日期： 2019年5月,Cruiser68181396281,https://www.tripadvisor.com.tw/Profile/Cruiser68181396281,4.0,,香港,
台北馥華南港館 ,整體還不錯,2019年6月,住宿日期： 2019年5月,Climber12195691492,https://www.tripadvisor.com.tw/Profile/Climber12195691492,4.0,,台灣西屯,
台北馥華南港館 ,服務人員品質佳,2019年6月,住宿日期： 2019年5月,Freedom22197526217,https://www.tripadvisor.com.tw/Profile/Freedom22197526217,5.0,,台灣新竹,
台北馥華南港館 ,很棒的住宿,2019年5月,,panchocaldera,https://www.tripadvisor.com.tw/Profile/panchocaldera,4.0,,智利聖地牙哥,
台北馥華南港館 ,CP值高,2019年5月,住宿日期： 2019年5月,Vicky C,https://www.tripadvisor.com.tw/Profile/VickyC3327,5.0,3,,
